,support,itemsets
0,0.12,frozenset({'acacia catechu'})
1,0.12,frozenset({'borassus flabellifer'})
2,0.12,frozenset({'cassia auriculata'})
3,0.24,frozenset({'costus speciosus'})
4,0.12,frozenset({'cuminum cyminum'})
5,0.16,frozenset({'curculigo orchioides'})
6,0.12,frozenset({'curcuma zedoaria'})
7,0.16,frozenset({'cyperus rotundus'})
8,0.16,frozenset({'glycyrrhiza glabra'})
9,0.2,frozenset({'hemidesmus indicus'})
10,0.12,frozenset({'myristica fragrans'})
11,0.12,frozenset({'nei'})
12,0.12,frozenset({'plectranthus vettiveroides'})
13,0.12,frozenset({'santalum album'})
14,0.2,frozenset({'sesamum indicum'})
15,0.12,frozenset({'syzygium aromaticum'})
16,0.24,frozenset({'terminalia bellirica'})
17,0.44,frozenset({'trikatu'})
18,0.32,frozenset({'triphala'})
19,0.12,"frozenset({'cyperus rotundus', 'costus speciosus'})"
20,0.12,"frozenset({'costus speciosus', 'plectranthus vettiveroides'})"
21,0.12,"frozenset({'costus speciosus', 'terminalia bellirica'})"
22,0.2,"frozenset({'costus speciosus', 'trikatu'})"
23,0.16,"frozenset({'costus speciosus', 'triphala'})"
24,0.12,"frozenset({'cuminum cyminum', 'trikatu'})"
25,0.12,"frozenset({'curcuma zedoaria', 'triphala'})"
26,0.12,"frozenset({'cyperus rotundus', 'triphala'})"
27,0.12,"frozenset({'glycyrrhiza glabra', 'myristica fragrans'})"
28,0.16,"frozenset({'glycyrrhiza glabra', 'trikatu'})"
29,0.12,"frozenset({'hemidesmus indicus', 'trikatu'})"
30,0.12,"frozenset({'trikatu', 'myristica fragrans'})"
31,0.12,"frozenset({'plectranthus vettiveroides', 'trikatu'})"
32,0.12,"frozenset({'syzygium aromaticum', 'trikatu'})"
33,0.2,"frozenset({'terminalia bellirica', 'trikatu'})"
34,0.24,"frozenset({'terminalia bellirica', 'triphala'})"
35,0.2,"frozenset({'triphala', 'trikatu'})"
36,0.12,"frozenset({'cyperus rotundus', 'triphala', 'costus speciosus'})"
37,0.12,"frozenset({'costus speciosus', 'plectranthus vettiveroides', 'trikatu'})"
38,0.12,"frozenset({'costus speciosus', 'terminalia bellirica', 'trikatu'})"
39,0.12,"frozenset({'costus speciosus', 'terminalia bellirica', 'triphala'})"
40,0.12,"frozenset({'costus speciosus', 'triphala', 'trikatu'})"
41,0.12,"frozenset({'glycyrrhiza glabra', 'trikatu', 'myristica fragrans'})"
42,0.2,"frozenset({'terminalia bellirica', 'triphala', 'trikatu'})"
43,0.12,"frozenset({'costus speciosus', 'terminalia bellirica', 'triphala', 'trikatu'})"
