,support,itemsets
0,0.10344827586206896,frozenset({'cassia auriculata'})
1,0.3103448275862069,frozenset({'trikatu'})
2,0.1206896551724138,frozenset({'cuminum cyminum'})
3,0.15517241379310345,frozenset({'costus speciosus'})
4,0.13793103448275862,frozenset({'glycyrrhiza glabra'})
5,0.10344827586206896,frozenset({'milk'})
6,0.1206896551724138,frozenset({'myristica fragrans'})
7,0.13793103448275862,frozenset({'syzygium aromaticum'})
8,0.1206896551724138,frozenset({'hemidesmus indicus'})
9,0.10344827586206896,frozenset({'aloe barbadensis'})
10,0.10344827586206896,frozenset({'sesamum indicum'})
11,0.15517241379310345,frozenset({'terminalia bellirica'})
12,0.2413793103448276,frozenset({'triphala'})
13,0.10344827586206896,frozenset({'cyperus rotundus'})
14,0.10344827586206896,frozenset({'elettaria cardamomum'})
15,0.13793103448275862,frozenset({'tinospora cordifolia'})
16,0.10344827586206896,"frozenset({'costus speciosus', 'trikatu'})"
17,0.10344827586206896,"frozenset({'syzygium aromaticum', 'trikatu'})"
18,0.13793103448275862,"frozenset({'terminalia bellirica', 'trikatu'})"
19,0.13793103448275862,"frozenset({'triphala', 'trikatu'})"
20,0.10344827586206896,"frozenset({'costus speciosus', 'triphala'})"
21,0.10344827586206896,"frozenset({'elettaria cardamomum', 'syzygium aromaticum'})"
22,0.13793103448275862,"frozenset({'terminalia bellirica', 'triphala'})"
23,0.1206896551724138,"frozenset({'terminalia bellirica', 'triphala', 'trikatu'})"
