,support,itemsets
0,0.19047619047619047,frozenset({'alpinia galanga'})
1,0.14285714285714285,frozenset({'calotropis gigantea'})
2,0.23809523809523808,frozenset({'carum copticum'})
3,0.14285714285714285,frozenset({'croton tiglium'})
4,0.14285714285714285,frozenset({'cuminum cyminum'})
5,0.19047619047619047,frozenset({'eclipta prostrata'})
6,0.14285714285714285,frozenset({'glycyrrhiza glabra'})
7,0.14285714285714285,frozenset({'nei'})
8,0.19047619047619047,frozenset({'saccharum officinarum'})
9,0.14285714285714285,frozenset({'solanum surattense'})
10,0.19047619047619047,frozenset({'solanum trilobatum'})
11,0.14285714285714285,frozenset({'syzygium aromaticum'})
12,0.2857142857142857,frozenset({'terminalia bellirica'})
13,0.5714285714285714,frozenset({'trikatu'})
14,0.38095238095238093,frozenset({'triphala'})
15,0.14285714285714285,frozenset({'withania somnifera'})
16,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga'})"
17,0.14285714285714285,"frozenset({'solanum surattense', 'alpinia galanga'})"
18,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga'})"
19,0.19047619047619047,"frozenset({'alpinia galanga', 'trikatu'})"
20,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga'})"
21,0.23809523809523808,"frozenset({'carum copticum', 'trikatu'})"
22,0.19047619047619047,"frozenset({'carum copticum', 'triphala'})"
23,0.14285714285714285,"frozenset({'croton tiglium', 'terminalia bellirica'})"
24,0.14285714285714285,"frozenset({'croton tiglium', 'trikatu'})"
25,0.14285714285714285,"frozenset({'eclipta prostrata', 'solanum trilobatum'})"
26,0.14285714285714285,"frozenset({'eclipta prostrata', 'trikatu'})"
27,0.14285714285714285,"frozenset({'syzygium aromaticum', 'glycyrrhiza glabra'})"
28,0.14285714285714285,"frozenset({'saccharum officinarum', 'trikatu'})"
29,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala'})"
30,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum'})"
31,0.14285714285714285,"frozenset({'solanum surattense', 'trikatu'})"
32,0.14285714285714285,"frozenset({'solanum surattense', 'triphala'})"
33,0.14285714285714285,"frozenset({'solanum trilobatum', 'trikatu'})"
34,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala'})"
35,0.2857142857142857,"frozenset({'terminalia bellirica', 'trikatu'})"
36,0.23809523809523808,"frozenset({'terminalia bellirica', 'triphala'})"
37,0.38095238095238093,"frozenset({'triphala', 'trikatu'})"
38,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga', 'trikatu'})"
39,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala', 'alpinia galanga'})"
40,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'alpinia galanga'})"
41,0.14285714285714285,"frozenset({'solanum surattense', 'alpinia galanga', 'trikatu'})"
42,0.14285714285714285,"frozenset({'solanum surattense', 'triphala', 'alpinia galanga'})"
43,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
44,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'alpinia galanga'})"
45,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga', 'trikatu'})"
46,0.19047619047619047,"frozenset({'carum copticum', 'triphala', 'trikatu'})"
47,0.14285714285714285,"frozenset({'croton tiglium', 'terminalia bellirica', 'trikatu'})"
48,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala', 'trikatu'})"
49,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'trikatu'})"
50,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'triphala'})"
51,0.14285714285714285,"frozenset({'solanum surattense', 'triphala', 'trikatu'})"
52,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'trikatu'})"
53,0.23809523809523808,"frozenset({'terminalia bellirica', 'triphala', 'trikatu'})"
54,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala', 'alpinia galanga', 'trikatu'})"
55,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
56,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'triphala', 'alpinia galanga'})"
57,0.14285714285714285,"frozenset({'solanum surattense', 'triphala', 'alpinia galanga', 'trikatu'})"
58,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'alpinia galanga', 'trikatu'})"
59,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'triphala', 'trikatu'})"
60,0.14285714285714285,"frozenset({'trikatu', 'solanum trilobatum', 'triphala', 'solanum surattense', 'alpinia galanga'})"
