,support,itemsets
53,0.23809523809523808,"frozenset({'terminalia bellirica', 'triphala', 'trikatu'})"
45,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga', 'trikatu'})"
46,0.19047619047619047,"frozenset({'carum copticum', 'triphala', 'trikatu'})"
38,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga', 'trikatu'})"
39,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala', 'alpinia galanga'})"
40,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'alpinia galanga'})"
41,0.14285714285714285,"frozenset({'solanum surattense', 'alpinia galanga', 'trikatu'})"
42,0.14285714285714285,"frozenset({'solanum surattense', 'triphala', 'alpinia galanga'})"
43,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
44,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'alpinia galanga'})"
47,0.14285714285714285,"frozenset({'croton tiglium', 'terminalia bellirica', 'trikatu'})"
48,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala', 'trikatu'})"
49,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'trikatu'})"
50,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'triphala'})"
51,0.14285714285714285,"frozenset({'solanum surattense', 'triphala', 'trikatu'})"
52,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'trikatu'})"
