,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
4,"frozenset({'abies spectabilis', 'costus speciosus'})",frozenset({'nigella sativa'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
6,"frozenset({'abies spectabilis', 'glycyrrhiza glabra'})",frozenset({'nigella sativa'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
8,"frozenset({'abies spectabilis', 'myristica fragrans'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
10,"frozenset({'abies spectabilis', 'milk'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
11,"frozenset({'abies spectabilis', 'nei'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
14,"frozenset({'abies spectabilis', 'plectranthus vettiveroides'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
16,"frozenset({'abies spectabilis', 'syzygium aromaticum'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
18,"frozenset({'abies spectabilis', 'trikatu'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
20,"frozenset({'abies spectabilis', 'myristica fragrans'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
22,"frozenset({'abies spectabilis', 'plectranthus vettiveroides'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
24,"frozenset({'abies spectabilis', 'syzygium aromaticum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
26,"frozenset({'abies spectabilis', 'trikatu'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
28,"frozenset({'costus speciosus', 'carum copticum'})",frozenset({'mesua nagassarium'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
29,"frozenset({'costus speciosus', 'mesua nagassarium'})",frozenset({'carum copticum'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
32,"frozenset({'carum copticum', 'glycyrrhiza glabra'})",frozenset({'mesua nagassarium'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
33,"frozenset({'mesua nagassarium', 'glycyrrhiza glabra'})",frozenset({'carum copticum'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
36,"frozenset({'costus speciosus', 'cuminum cyminum'})",frozenset({'nigella sativa'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
38,"frozenset({'costus speciosus', 'saccharum officinarum'})",frozenset({'nigella sativa'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
40,"frozenset({'glycyrrhiza glabra', 'cuminum cyminum'})",frozenset({'nigella sativa'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
42,"frozenset({'honey', 'cuminum cyminum'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
44,"frozenset({'honey', 'cuminum cyminum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
46,"frozenset({'cuminum cyminum', 'myristica fragrans'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
48,"frozenset({'milk', 'cuminum cyminum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
49,"frozenset({'cuminum cyminum', 'nei'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
52,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
54,"frozenset({'syzygium aromaticum', 'cuminum cyminum'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
56,"frozenset({'cuminum cyminum', 'trikatu'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
58,"frozenset({'cuminum cyminum', 'myristica fragrans'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
60,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
62,"frozenset({'syzygium aromaticum', 'cuminum cyminum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
64,"frozenset({'cuminum cyminum', 'trikatu'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
66,"frozenset({'saccharum officinarum', 'glycyrrhiza glabra'})",frozenset({'nigella sativa'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
68,"frozenset({'honey', 'myristica fragrans'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
70,"frozenset({'honey', 'milk'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
71,"frozenset({'honey', 'nei'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
74,"frozenset({'honey', 'plectranthus vettiveroides'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
76,"frozenset({'honey', 'saccharum officinarum'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
78,"frozenset({'honey', 'syzygium aromaticum'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
80,"frozenset({'honey', 'trikatu'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
82,"frozenset({'honey', 'myristica fragrans'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
84,"frozenset({'honey', 'plectranthus vettiveroides'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
86,"frozenset({'honey', 'saccharum officinarum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
88,"frozenset({'honey', 'syzygium aromaticum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
90,"frozenset({'honey', 'trikatu'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
92,"frozenset({'milk', 'myristica fragrans'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
93,"frozenset({'nei', 'myristica fragrans'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
96,"frozenset({'plectranthus vettiveroides', 'myristica fragrans'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
98,"frozenset({'saccharum officinarum', 'myristica fragrans'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
100,"frozenset({'trikatu', 'myristica fragrans'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
102,"frozenset({'milk', 'plectranthus vettiveroides'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
103,"frozenset({'nei', 'plectranthus vettiveroides'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
106,"frozenset({'saccharum officinarum', 'milk'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
107,"frozenset({'saccharum officinarum', 'nei'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
110,"frozenset({'syzygium aromaticum', 'milk'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
111,"frozenset({'syzygium aromaticum', 'nei'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
