,support,itemsets
0,0.3076923076923077,frozenset({'abies spectabilis'})
1,0.15384615384615385,frozenset({'acalypha indica'})
2,0.15384615384615385,frozenset({'carum copticum'})
3,0.38461538461538464,frozenset({'costus speciosus'})
4,0.23076923076923078,frozenset({'cuminum cyminum'})
5,0.15384615384615385,frozenset({'elettaria cardamomum'})
6,0.23076923076923078,frozenset({'glycyrrhiza glabra'})
7,0.23076923076923078,frozenset({'honey'})
8,0.15384615384615385,frozenset({'mesua nagassarium'})
9,0.15384615384615385,frozenset({'milk'})
10,0.23076923076923078,frozenset({'myristica fragrans'})
11,0.15384615384615385,frozenset({'nardostachys grandiflora'})
12,0.15384615384615385,frozenset({'nei'})
13,0.15384615384615385,frozenset({'nigella sativa'})
14,0.23076923076923078,frozenset({'plectranthus vettiveroides'})
15,0.23076923076923078,frozenset({'saccharum officinarum'})
16,0.15384615384615385,frozenset({'santalum album'})
17,0.15384615384615385,frozenset({'solanum surattense'})
18,0.23076923076923078,frozenset({'syzygium aromaticum'})
19,0.15384615384615385,frozenset({'thalagam'})
20,0.38461538461538464,frozenset({'trikatu'})
21,0.15384615384615385,frozenset({'triphala'})
22,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus'})"
23,0.23076923076923078,"frozenset({'abies spectabilis', 'cuminum cyminum'})"
24,0.15384615384615385,"frozenset({'abies spectabilis', 'glycyrrhiza glabra'})"
25,0.23076923076923078,"frozenset({'abies spectabilis', 'honey'})"
26,0.15384615384615385,"frozenset({'abies spectabilis', 'milk'})"
27,0.15384615384615385,"frozenset({'abies spectabilis', 'myristica fragrans'})"
28,0.15384615384615385,"frozenset({'abies spectabilis', 'nei'})"
29,0.15384615384615385,"frozenset({'abies spectabilis', 'nigella sativa'})"
30,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides'})"
31,0.23076923076923078,"frozenset({'abies spectabilis', 'saccharum officinarum'})"
32,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum'})"
33,0.15384615384615385,"frozenset({'abies spectabilis', 'trikatu'})"
34,0.15384615384615385,"frozenset({'costus speciosus', 'carum copticum'})"
35,0.15384615384615385,"frozenset({'carum copticum', 'glycyrrhiza glabra'})"
36,0.15384615384615385,"frozenset({'carum copticum', 'mesua nagassarium'})"
37,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum'})"
38,0.23076923076923078,"frozenset({'costus speciosus', 'glycyrrhiza glabra'})"
39,0.15384615384615385,"frozenset({'costus speciosus', 'mesua nagassarium'})"
40,0.15384615384615385,"frozenset({'costus speciosus', 'myristica fragrans'})"
41,0.15384615384615385,"frozenset({'costus speciosus', 'nigella sativa'})"
42,0.15384615384615385,"frozenset({'costus speciosus', 'plectranthus vettiveroides'})"
43,0.15384615384615385,"frozenset({'costus speciosus', 'saccharum officinarum'})"
44,0.15384615384615385,"frozenset({'costus speciosus', 'santalum album'})"
45,0.15384615384615385,"frozenset({'costus speciosus', 'syzygium aromaticum'})"
46,0.23076923076923078,"frozenset({'costus speciosus', 'trikatu'})"
47,0.15384615384615385,"frozenset({'cuminum cyminum', 'glycyrrhiza glabra'})"
48,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum'})"
49,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk'})"
50,0.15384615384615385,"frozenset({'cuminum cyminum', 'myristica fragrans'})"
51,0.15384615384615385,"frozenset({'cuminum cyminum', 'nei'})"
52,0.15384615384615385,"frozenset({'cuminum cyminum', 'nigella sativa'})"
53,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides'})"
54,0.23076923076923078,"frozenset({'saccharum officinarum', 'cuminum cyminum'})"
55,0.15384615384615385,"frozenset({'syzygium aromaticum', 'cuminum cyminum'})"
56,0.15384615384615385,"frozenset({'cuminum cyminum', 'trikatu'})"
57,0.15384615384615385,"frozenset({'mesua nagassarium', 'glycyrrhiza glabra'})"
58,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'myristica fragrans'})"
59,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'nigella sativa'})"
60,0.15384615384615385,"frozenset({'saccharum officinarum', 'glycyrrhiza glabra'})"
61,0.15384615384615385,"frozenset({'syzygium aromaticum', 'glycyrrhiza glabra'})"
62,0.15384615384615385,"frozenset({'honey', 'milk'})"
63,0.15384615384615385,"frozenset({'honey', 'myristica fragrans'})"
64,0.15384615384615385,"frozenset({'honey', 'nei'})"
65,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides'})"
66,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum'})"
67,0.15384615384615385,"frozenset({'honey', 'syzygium aromaticum'})"
68,0.15384615384615385,"frozenset({'honey', 'trikatu'})"
69,0.15384615384615385,"frozenset({'milk', 'myristica fragrans'})"
70,0.15384615384615385,"frozenset({'milk', 'nei'})"
71,0.15384615384615385,"frozenset({'milk', 'plectranthus vettiveroides'})"
72,0.15384615384615385,"frozenset({'saccharum officinarum', 'milk'})"
73,0.15384615384615385,"frozenset({'syzygium aromaticum', 'milk'})"
74,0.15384615384615385,"frozenset({'milk', 'trikatu'})"
75,0.15384615384615385,"frozenset({'nei', 'myristica fragrans'})"
76,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'myristica fragrans'})"
77,0.15384615384615385,"frozenset({'saccharum officinarum', 'myristica fragrans'})"
78,0.23076923076923078,"frozenset({'syzygium aromaticum', 'myristica fragrans'})"
79,0.15384615384615385,"frozenset({'trikatu', 'myristica fragrans'})"
80,0.15384615384615385,"frozenset({'nardostachys grandiflora', 'trikatu'})"
81,0.15384615384615385,"frozenset({'nei', 'plectranthus vettiveroides'})"
82,0.15384615384615385,"frozenset({'saccharum officinarum', 'nei'})"
83,0.15384615384615385,"frozenset({'syzygium aromaticum', 'nei'})"
84,0.15384615384615385,"frozenset({'nei', 'trikatu'})"
85,0.15384615384615385,"frozenset({'saccharum officinarum', 'nigella sativa'})"
86,0.15384615384615385,"frozenset({'saccharum officinarum', 'plectranthus vettiveroides'})"
87,0.15384615384615385,"frozenset({'syzygium aromaticum', 'plectranthus vettiveroides'})"
88,0.23076923076923078,"frozenset({'plectranthus vettiveroides', 'trikatu'})"
89,0.15384615384615385,"frozenset({'saccharum officinarum', 'syzygium aromaticum'})"
90,0.15384615384615385,"frozenset({'saccharum officinarum', 'trikatu'})"
91,0.15384615384615385,"frozenset({'syzygium aromaticum', 'trikatu'})"
92,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus', 'cuminum cyminum'})"
93,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus', 'glycyrrhiza glabra'})"
94,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus', 'nigella sativa'})"
95,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'costus speciosus'})"
96,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'glycyrrhiza glabra'})"
97,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'cuminum cyminum'})"
98,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'milk'})"
99,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'myristica fragrans'})"
100,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'nei'})"
101,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'nigella sativa'})"
102,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'plectranthus vettiveroides'})"
103,0.23076923076923078,"frozenset({'abies spectabilis', 'saccharum officinarum', 'cuminum cyminum'})"
104,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'cuminum cyminum'})"
105,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'trikatu'})"
106,0.15384615384615385,"frozenset({'abies spectabilis', 'glycyrrhiza glabra', 'nigella sativa'})"
107,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'glycyrrhiza glabra'})"
108,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'milk'})"
109,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'myristica fragrans'})"
110,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'nei'})"
111,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'plectranthus vettiveroides'})"
112,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'honey'})"
113,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'honey'})"
114,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'trikatu'})"
115,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'myristica fragrans'})"
116,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'nei'})"
117,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'plectranthus vettiveroides'})"
118,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'milk'})"
119,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'milk'})"
120,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'trikatu'})"
121,0.15384615384615385,"frozenset({'abies spectabilis', 'nei', 'myristica fragrans'})"
122,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides', 'myristica fragrans'})"
123,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'myristica fragrans'})"
124,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'myristica fragrans'})"
125,0.15384615384615385,"frozenset({'abies spectabilis', 'trikatu', 'myristica fragrans'})"
126,0.15384615384615385,"frozenset({'abies spectabilis', 'nei', 'plectranthus vettiveroides'})"
127,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'nei'})"
128,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'nei'})"
129,0.15384615384615385,"frozenset({'abies spectabilis', 'nei', 'trikatu'})"
130,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'nigella sativa'})"
131,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'plectranthus vettiveroides'})"
132,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'plectranthus vettiveroides'})"
133,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides', 'trikatu'})"
134,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'syzygium aromaticum'})"
135,0.15384615384615385,"frozenset({'abies spectabilis', 'saccharum officinarum', 'trikatu'})"
136,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'trikatu'})"
137,0.15384615384615385,"frozenset({'costus speciosus', 'carum copticum', 'glycyrrhiza glabra'})"
138,0.15384615384615385,"frozenset({'costus speciosus', 'carum copticum', 'mesua nagassarium'})"
139,0.15384615384615385,"frozenset({'carum copticum', 'glycyrrhiza glabra', 'mesua nagassarium'})"
140,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum', 'glycyrrhiza glabra'})"
141,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum', 'nigella sativa'})"
142,0.15384615384615385,"frozenset({'costus speciosus', 'saccharum officinarum', 'cuminum cyminum'})"
143,0.15384615384615385,"frozenset({'costus speciosus', 'mesua nagassarium', 'glycyrrhiza glabra'})"
144,0.15384615384615385,"frozenset({'costus speciosus', 'glycyrrhiza glabra', 'myristica fragrans'})"
145,0.15384615384615385,"frozenset({'costus speciosus', 'glycyrrhiza glabra', 'nigella sativa'})"
146,0.15384615384615385,"frozenset({'costus speciosus', 'saccharum officinarum', 'glycyrrhiza glabra'})"
147,0.15384615384615385,"frozenset({'costus speciosus', 'syzygium aromaticum', 'glycyrrhiza glabra'})"
148,0.15384615384615385,"frozenset({'costus speciosus', 'syzygium aromaticum', 'myristica fragrans'})"
149,0.15384615384615385,"frozenset({'costus speciosus', 'saccharum officinarum', 'nigella sativa'})"
150,0.15384615384615385,"frozenset({'costus speciosus', 'plectranthus vettiveroides', 'trikatu'})"
151,0.15384615384615385,"frozenset({'cuminum cyminum', 'glycyrrhiza glabra', 'nigella sativa'})"
