,support,itemsets
103,0.23076923076923078,"frozenset({'abies spectabilis', 'saccharum officinarum', 'cuminum cyminum'})"
92,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus', 'cuminum cyminum'})"
193,0.15384615384615385,"frozenset({'honey', 'syzygium aromaticum', 'myristica fragrans'})"
187,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum', 'milk'})"
188,0.15384615384615385,"frozenset({'honey', 'syzygium aromaticum', 'milk'})"
189,0.15384615384615385,"frozenset({'honey', 'milk', 'trikatu'})"
190,0.15384615384615385,"frozenset({'honey', 'nei', 'myristica fragrans'})"
191,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides', 'myristica fragrans'})"
192,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum', 'myristica fragrans'})"
194,0.15384615384615385,"frozenset({'honey', 'trikatu', 'myristica fragrans'})"
185,0.15384615384615385,"frozenset({'milk', 'honey', 'nei'})"
195,0.15384615384615385,"frozenset({'honey', 'nei', 'plectranthus vettiveroides'})"
196,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum', 'nei'})"
197,0.15384615384615385,"frozenset({'honey', 'syzygium aromaticum', 'nei'})"
198,0.15384615384615385,"frozenset({'honey', 'nei', 'trikatu'})"
199,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum', 'plectranthus vettiveroides'})"
200,0.15384615384615385,"frozenset({'honey', 'syzygium aromaticum', 'plectranthus vettiveroides'})"
201,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides', 'trikatu'})"
186,0.15384615384615385,"frozenset({'honey', 'milk', 'plectranthus vettiveroides'})"
184,0.15384615384615385,"frozenset({'honey', 'milk', 'myristica fragrans'})"
203,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum', 'trikatu'})"
175,0.15384615384615385,"frozenset({'saccharum officinarum', 'cuminum cyminum', 'nigella sativa'})"
169,0.15384615384615385,"frozenset({'syzygium aromaticum', 'cuminum cyminum', 'myristica fragrans'})"
170,0.15384615384615385,"frozenset({'cuminum cyminum', 'trikatu', 'myristica fragrans'})"
171,0.15384615384615385,"frozenset({'cuminum cyminum', 'nei', 'plectranthus vettiveroides'})"
172,0.15384615384615385,"frozenset({'saccharum officinarum', 'nei', 'cuminum cyminum'})"
173,0.15384615384615385,"frozenset({'syzygium aromaticum', 'nei', 'cuminum cyminum'})"
174,0.15384615384615385,"frozenset({'cuminum cyminum', 'nei', 'trikatu'})"
176,0.15384615384615385,"frozenset({'saccharum officinarum', 'cuminum cyminum', 'plectranthus vettiveroides'})"
183,0.15384615384615385,"frozenset({'saccharum officinarum', 'glycyrrhiza glabra', 'nigella sativa'})"
177,0.15384615384615385,"frozenset({'syzygium aromaticum', 'cuminum cyminum', 'plectranthus vettiveroides'})"
178,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'cuminum cyminum', 'trikatu'})"
