,support,itemsets
0,0.19047619047619047,frozenset({'alpinia galanga'})
1,0.14285714285714285,frozenset({'calotropis gigantea'})
2,0.23809523809523808,frozenset({'carum copticum'})
3,0.14285714285714285,frozenset({'croton tiglium'})
4,0.14285714285714285,frozenset({'cuminum cyminum'})
5,0.19047619047619047,frozenset({'eclipta prostrata'})
6,0.14285714285714285,frozenset({'glycyrrhiza glabra'})
7,0.14285714285714285,frozenset({'nei'})
8,0.19047619047619047,frozenset({'saccharum officinarum'})
9,0.14285714285714285,frozenset({'solanum surattense'})
10,0.19047619047619047,frozenset({'solanum trilobatum'})
11,0.14285714285714285,frozenset({'syzygium aromaticum'})
12,0.2857142857142857,frozenset({'terminalia bellirica'})
13,0.5714285714285714,frozenset({'trikatu'})
14,0.38095238095238093,frozenset({'triphala'})
15,0.14285714285714285,frozenset({'withania somnifera'})
16,0.14285714285714285,"frozenset({'alpinia galanga', 'saccharum officinarum'})"
17,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense'})"
18,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga'})"
19,0.19047619047619047,"frozenset({'alpinia galanga', 'trikatu'})"
20,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga'})"
21,0.23809523809523808,"frozenset({'trikatu', 'carum copticum'})"
22,0.19047619047619047,"frozenset({'triphala', 'carum copticum'})"
23,0.14285714285714285,"frozenset({'croton tiglium', 'terminalia bellirica'})"
24,0.14285714285714285,"frozenset({'croton tiglium', 'trikatu'})"
25,0.14285714285714285,"frozenset({'solanum trilobatum', 'eclipta prostrata'})"
26,0.14285714285714285,"frozenset({'trikatu', 'eclipta prostrata'})"
27,0.14285714285714285,"frozenset({'glycyrrhiza glabra', 'syzygium aromaticum'})"
28,0.14285714285714285,"frozenset({'trikatu', 'saccharum officinarum'})"
29,0.14285714285714285,"frozenset({'triphala', 'saccharum officinarum'})"
30,0.14285714285714285,"frozenset({'solanum trilobatum', 'solanum surattense'})"
31,0.14285714285714285,"frozenset({'solanum surattense', 'trikatu'})"
32,0.14285714285714285,"frozenset({'triphala', 'solanum surattense'})"
33,0.14285714285714285,"frozenset({'solanum trilobatum', 'trikatu'})"
34,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala'})"
35,0.2857142857142857,"frozenset({'terminalia bellirica', 'trikatu'})"
36,0.23809523809523808,"frozenset({'triphala', 'terminalia bellirica'})"
37,0.38095238095238093,"frozenset({'triphala', 'trikatu'})"
38,0.14285714285714285,"frozenset({'alpinia galanga', 'trikatu', 'saccharum officinarum'})"
39,0.14285714285714285,"frozenset({'triphala', 'alpinia galanga', 'saccharum officinarum'})"
40,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'solanum surattense'})"
41,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense', 'trikatu'})"
42,0.14285714285714285,"frozenset({'triphala', 'alpinia galanga', 'solanum surattense'})"
43,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
44,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'alpinia galanga'})"
45,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga', 'trikatu'})"
46,0.19047619047619047,"frozenset({'triphala', 'trikatu', 'carum copticum'})"
47,0.14285714285714285,"frozenset({'croton tiglium', 'terminalia bellirica', 'trikatu'})"
48,0.14285714285714285,"frozenset({'triphala', 'trikatu', 'saccharum officinarum'})"
49,0.14285714285714285,"frozenset({'solanum trilobatum', 'solanum surattense', 'trikatu'})"
50,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'solanum surattense'})"
51,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'trikatu'})"
52,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'trikatu'})"
53,0.23809523809523808,"frozenset({'triphala', 'terminalia bellirica', 'trikatu'})"
54,0.14285714285714285,"frozenset({'triphala', 'alpinia galanga', 'trikatu', 'saccharum officinarum'})"
55,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'solanum surattense', 'trikatu'})"
56,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'alpinia galanga', 'solanum surattense'})"
57,0.14285714285714285,"frozenset({'triphala', 'alpinia galanga', 'solanum surattense', 'trikatu'})"
58,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
59,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'solanum surattense', 'trikatu'})"
60,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum', 'triphala', 'solanum surattense', 'trikatu'})"
