,support,itemsets
53,0.23809523809523808,"frozenset({'triphala', 'terminalia bellirica', 'trikatu'})"
45,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga', 'trikatu'})"
46,0.19047619047619047,"frozenset({'triphala', 'trikatu', 'carum copticum'})"
38,0.14285714285714285,"frozenset({'alpinia galanga', 'trikatu', 'saccharum officinarum'})"
39,0.14285714285714285,"frozenset({'triphala', 'alpinia galanga', 'saccharum officinarum'})"
40,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'solanum surattense'})"
41,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense', 'trikatu'})"
42,0.14285714285714285,"frozenset({'triphala', 'alpinia galanga', 'solanum surattense'})"
43,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
44,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'alpinia galanga'})"
47,0.14285714285714285,"frozenset({'croton tiglium', 'terminalia bellirica', 'trikatu'})"
48,0.14285714285714285,"frozenset({'triphala', 'trikatu', 'saccharum officinarum'})"
49,0.14285714285714285,"frozenset({'solanum trilobatum', 'solanum surattense', 'trikatu'})"
50,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'solanum surattense'})"
51,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'trikatu'})"
52,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'trikatu'})"
