,support,itemsets
0,0.3076923076923077,frozenset({'abies spectabilis'})
1,0.15384615384615385,frozenset({'acalypha indica'})
2,0.15384615384615385,frozenset({'carum copticum'})
3,0.38461538461538464,frozenset({'costus speciosus'})
4,0.23076923076923078,frozenset({'cuminum cyminum'})
5,0.15384615384615385,frozenset({'elettaria cardamomum'})
6,0.23076923076923078,frozenset({'glycyrrhiza glabra'})
7,0.23076923076923078,frozenset({'honey'})
8,0.15384615384615385,frozenset({'mesua nagassarium'})
9,0.15384615384615385,frozenset({'milk'})
10,0.23076923076923078,frozenset({'myristica fragrans'})
11,0.15384615384615385,frozenset({'nardostachys grandiflora'})
12,0.15384615384615385,frozenset({'nei'})
13,0.15384615384615385,frozenset({'nigella sativa'})
14,0.23076923076923078,frozenset({'plectranthus vettiveroides'})
15,0.23076923076923078,frozenset({'saccharum officinarum'})
16,0.15384615384615385,frozenset({'santalum album'})
17,0.15384615384615385,frozenset({'solanum surattense'})
18,0.23076923076923078,frozenset({'syzygium aromaticum'})
19,0.15384615384615385,frozenset({'thalagam'})
20,0.38461538461538464,frozenset({'trikatu'})
21,0.15384615384615385,frozenset({'triphala'})
22,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus'})"
23,0.23076923076923078,"frozenset({'cuminum cyminum', 'abies spectabilis'})"
24,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis'})"
25,0.23076923076923078,"frozenset({'honey', 'abies spectabilis'})"
26,0.15384615384615385,"frozenset({'abies spectabilis', 'milk'})"
27,0.15384615384615385,"frozenset({'myristica fragrans', 'abies spectabilis'})"
28,0.15384615384615385,"frozenset({'abies spectabilis', 'nei'})"
29,0.15384615384615385,"frozenset({'abies spectabilis', 'nigella sativa'})"
30,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis'})"
31,0.23076923076923078,"frozenset({'abies spectabilis', 'saccharum officinarum'})"
32,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum'})"
33,0.15384615384615385,"frozenset({'abies spectabilis', 'trikatu'})"
34,0.15384615384615385,"frozenset({'costus speciosus', 'carum copticum'})"
35,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'carum copticum'})"
36,0.15384615384615385,"frozenset({'mesua nagassarium', 'carum copticum'})"
37,0.15384615384615385,"frozenset({'cuminum cyminum', 'costus speciosus'})"
38,0.23076923076923078,"frozenset({'glycyrrhiza glabra', 'costus speciosus'})"
39,0.15384615384615385,"frozenset({'mesua nagassarium', 'costus speciosus'})"
40,0.15384615384615385,"frozenset({'myristica fragrans', 'costus speciosus'})"
41,0.15384615384615385,"frozenset({'nigella sativa', 'costus speciosus'})"
42,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'costus speciosus'})"
43,0.15384615384615385,"frozenset({'costus speciosus', 'saccharum officinarum'})"
44,0.15384615384615385,"frozenset({'costus speciosus', 'santalum album'})"
45,0.15384615384615385,"frozenset({'costus speciosus', 'syzygium aromaticum'})"
46,0.23076923076923078,"frozenset({'trikatu', 'costus speciosus'})"
47,0.15384615384615385,"frozenset({'cuminum cyminum', 'glycyrrhiza glabra'})"
48,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum'})"
49,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk'})"
50,0.15384615384615385,"frozenset({'myristica fragrans', 'cuminum cyminum'})"
51,0.15384615384615385,"frozenset({'cuminum cyminum', 'nei'})"
52,0.15384615384615385,"frozenset({'cuminum cyminum', 'nigella sativa'})"
53,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'cuminum cyminum'})"
54,0.23076923076923078,"frozenset({'cuminum cyminum', 'saccharum officinarum'})"
55,0.15384615384615385,"frozenset({'cuminum cyminum', 'syzygium aromaticum'})"
56,0.15384615384615385,"frozenset({'cuminum cyminum', 'trikatu'})"
57,0.15384615384615385,"frozenset({'mesua nagassarium', 'glycyrrhiza glabra'})"
58,0.15384615384615385,"frozenset({'myristica fragrans', 'glycyrrhiza glabra'})"
59,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'nigella sativa'})"
60,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'saccharum officinarum'})"
61,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'syzygium aromaticum'})"
62,0.15384615384615385,"frozenset({'honey', 'milk'})"
63,0.15384615384615385,"frozenset({'myristica fragrans', 'honey'})"
64,0.15384615384615385,"frozenset({'honey', 'nei'})"
65,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'honey'})"
66,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum'})"
67,0.15384615384615385,"frozenset({'honey', 'syzygium aromaticum'})"
68,0.15384615384615385,"frozenset({'honey', 'trikatu'})"
69,0.15384615384615385,"frozenset({'myristica fragrans', 'milk'})"
70,0.15384615384615385,"frozenset({'milk', 'nei'})"
71,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'milk'})"
72,0.15384615384615385,"frozenset({'milk', 'saccharum officinarum'})"
73,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum'})"
74,0.15384615384615385,"frozenset({'milk', 'trikatu'})"
75,0.15384615384615385,"frozenset({'myristica fragrans', 'nei'})"
76,0.15384615384615385,"frozenset({'myristica fragrans', 'plectranthus vettiveroides'})"
77,0.15384615384615385,"frozenset({'myristica fragrans', 'saccharum officinarum'})"
78,0.23076923076923078,"frozenset({'myristica fragrans', 'syzygium aromaticum'})"
79,0.15384615384615385,"frozenset({'myristica fragrans', 'trikatu'})"
80,0.15384615384615385,"frozenset({'nardostachys grandiflora', 'trikatu'})"
81,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'nei'})"
82,0.15384615384615385,"frozenset({'nei', 'saccharum officinarum'})"
83,0.15384615384615385,"frozenset({'nei', 'syzygium aromaticum'})"
84,0.15384615384615385,"frozenset({'trikatu', 'nei'})"
85,0.15384615384615385,"frozenset({'nigella sativa', 'saccharum officinarum'})"
86,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'saccharum officinarum'})"
87,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'syzygium aromaticum'})"
88,0.23076923076923078,"frozenset({'plectranthus vettiveroides', 'trikatu'})"
89,0.15384615384615385,"frozenset({'syzygium aromaticum', 'saccharum officinarum'})"
90,0.15384615384615385,"frozenset({'trikatu', 'saccharum officinarum'})"
91,0.15384615384615385,"frozenset({'trikatu', 'syzygium aromaticum'})"
92,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'costus speciosus'})"
93,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis', 'costus speciosus'})"
94,0.15384615384615385,"frozenset({'abies spectabilis', 'nigella sativa', 'costus speciosus'})"
95,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus', 'saccharum officinarum'})"
96,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'cuminum cyminum', 'abies spectabilis'})"
97,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum', 'abies spectabilis'})"
98,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'milk'})"
99,0.15384615384615385,"frozenset({'myristica fragrans', 'cuminum cyminum', 'abies spectabilis'})"
100,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'nei'})"
101,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'nigella sativa'})"
102,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'plectranthus vettiveroides'})"
103,0.23076923076923078,"frozenset({'cuminum cyminum', 'abies spectabilis', 'saccharum officinarum'})"
104,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'syzygium aromaticum'})"
105,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'trikatu'})"
106,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis', 'nigella sativa'})"
107,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis', 'saccharum officinarum'})"
108,0.15384615384615385,"frozenset({'honey', 'abies spectabilis', 'milk'})"
109,0.15384615384615385,"frozenset({'myristica fragrans', 'honey', 'abies spectabilis'})"
110,0.15384615384615385,"frozenset({'honey', 'abies spectabilis', 'nei'})"
111,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides', 'abies spectabilis'})"
112,0.15384615384615385,"frozenset({'honey', 'abies spectabilis', 'saccharum officinarum'})"
113,0.15384615384615385,"frozenset({'honey', 'abies spectabilis', 'syzygium aromaticum'})"
114,0.15384615384615385,"frozenset({'honey', 'abies spectabilis', 'trikatu'})"
115,0.15384615384615385,"frozenset({'myristica fragrans', 'abies spectabilis', 'milk'})"
116,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'nei'})"
117,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis', 'milk'})"
118,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'saccharum officinarum'})"
119,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'syzygium aromaticum'})"
120,0.15384615384615385,"frozenset({'abies spectabilis', 'milk', 'trikatu'})"
121,0.15384615384615385,"frozenset({'myristica fragrans', 'abies spectabilis', 'nei'})"
122,0.15384615384615385,"frozenset({'myristica fragrans', 'plectranthus vettiveroides', 'abies spectabilis'})"
123,0.15384615384615385,"frozenset({'myristica fragrans', 'abies spectabilis', 'saccharum officinarum'})"
124,0.15384615384615385,"frozenset({'myristica fragrans', 'abies spectabilis', 'syzygium aromaticum'})"
125,0.15384615384615385,"frozenset({'myristica fragrans', 'abies spectabilis', 'trikatu'})"
126,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis', 'nei'})"
127,0.15384615384615385,"frozenset({'abies spectabilis', 'nei', 'saccharum officinarum'})"
128,0.15384615384615385,"frozenset({'abies spectabilis', 'nei', 'syzygium aromaticum'})"
129,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis', 'nei'})"
130,0.15384615384615385,"frozenset({'abies spectabilis', 'nigella sativa', 'saccharum officinarum'})"
131,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis', 'saccharum officinarum'})"
132,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis', 'syzygium aromaticum'})"
133,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis', 'trikatu'})"
134,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'saccharum officinarum'})"
135,0.15384615384615385,"frozenset({'abies spectabilis', 'trikatu', 'saccharum officinarum'})"
136,0.15384615384615385,"frozenset({'abies spectabilis', 'trikatu', 'syzygium aromaticum'})"
137,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'costus speciosus', 'carum copticum'})"
138,0.15384615384615385,"frozenset({'mesua nagassarium', 'costus speciosus', 'carum copticum'})"
139,0.15384615384615385,"frozenset({'mesua nagassarium', 'glycyrrhiza glabra', 'carum copticum'})"
140,0.15384615384615385,"frozenset({'cuminum cyminum', 'glycyrrhiza glabra', 'costus speciosus'})"
141,0.15384615384615385,"frozenset({'cuminum cyminum', 'nigella sativa', 'costus speciosus'})"
142,0.15384615384615385,"frozenset({'cuminum cyminum', 'costus speciosus', 'saccharum officinarum'})"
143,0.15384615384615385,"frozenset({'mesua nagassarium', 'glycyrrhiza glabra', 'costus speciosus'})"
144,0.15384615384615385,"frozenset({'myristica fragrans', 'glycyrrhiza glabra', 'costus speciosus'})"
145,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'nigella sativa', 'costus speciosus'})"
146,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'costus speciosus', 'saccharum officinarum'})"
147,0.15384615384615385,"frozenset({'costus speciosus', 'glycyrrhiza glabra', 'syzygium aromaticum'})"
148,0.15384615384615385,"frozenset({'myristica fragrans', 'costus speciosus', 'syzygium aromaticum'})"
149,0.15384615384615385,"frozenset({'nigella sativa', 'costus speciosus', 'saccharum officinarum'})"
150,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'trikatu', 'costus speciosus'})"
151,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'cuminum cyminum', 'nigella sativa'})"
