,support,itemsets
467,0.15384615384615385,"frozenset({'cuminum cyminum', 'abies spectabilis', 'nigella sativa', 'costus speciosus', 'glycyrrhiza glabra'})"
660,0.15384615384615385,"frozenset({'cuminum cyminum', 'saccharum officinarum', 'myristica fragrans', 'plectranthus vettiveroides', 'syzygium aromaticum'})"
630,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum', 'saccharum officinarum', 'plectranthus vettiveroides', 'syzygium aromaticum'})"
631,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum', 'saccharum officinarum', 'plectranthus vettiveroides', 'trikatu'})"
632,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum', 'plectranthus vettiveroides', 'syzygium aromaticum', 'trikatu'})"
633,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum', 'saccharum officinarum', 'syzygium aromaticum', 'trikatu'})"
634,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'myristica fragrans', 'plectranthus vettiveroides', 'nei'})"
635,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'saccharum officinarum', 'myristica fragrans', 'nei'})"
636,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'myristica fragrans', 'nei', 'syzygium aromaticum'})"
637,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'myristica fragrans', 'nei', 'trikatu'})"
638,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'saccharum officinarum', 'myristica fragrans', 'plectranthus vettiveroides'})"
639,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'myristica fragrans', 'plectranthus vettiveroides', 'syzygium aromaticum'})"
640,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'myristica fragrans', 'plectranthus vettiveroides', 'trikatu'})"
641,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'saccharum officinarum', 'myristica fragrans', 'syzygium aromaticum'})"
642,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'saccharum officinarum', 'myristica fragrans', 'trikatu'})"
643,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'myristica fragrans', 'syzygium aromaticum', 'trikatu'})"
644,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'saccharum officinarum', 'plectranthus vettiveroides', 'nei'})"
645,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'plectranthus vettiveroides', 'nei', 'syzygium aromaticum'})"
646,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'plectranthus vettiveroides', 'nei', 'trikatu'})"
647,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'saccharum officinarum', 'nei', 'syzygium aromaticum'})"
648,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'saccharum officinarum', 'nei', 'trikatu'})"
