,support,itemsets
45,0.23809523809523808,"frozenset({'terminalia bellirica', 'triphala', 'trikatu'})"
42,0.19047619047619047,"frozenset({'triphala', 'carum copticum', 'trikatu'})"
47,0.19047619047619047,"frozenset({'alpinia galanga', 'triphala', 'trikatu'})"
38,0.14285714285714285,"frozenset({'terminalia bellirica', 'croton tiglium', 'trikatu'})"
39,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'trikatu'})"
40,0.14285714285714285,"frozenset({'solanum surattense', 'triphala', 'solanum trilobatum'})"
41,0.14285714285714285,"frozenset({'alpinia galanga', 'triphala', 'solanum trilobatum'})"
43,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala', 'trikatu'})"
44,0.14285714285714285,"frozenset({'alpinia galanga', 'saccharum officinarum', 'triphala'})"
46,0.14285714285714285,"frozenset({'solanum surattense', 'triphala', 'trikatu'})"
48,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense', 'triphala'})"
49,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'trikatu'})"
50,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum', 'trikatu'})"
51,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense', 'solanum trilobatum'})"
52,0.14285714285714285,"frozenset({'alpinia galanga', 'saccharum officinarum', 'trikatu'})"
53,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense', 'trikatu'})"
