,support,itemsets
0,0.12,frozenset({'myristica fragrans'})
1,0.12,frozenset({'acacia catechu'})
2,0.32,frozenset({'triphala'})
3,0.12,frozenset({'cuminum cyminum'})
4,0.24,frozenset({'costus speciosus'})
5,0.12,frozenset({'cassia auriculata'})
6,0.12,frozenset({'plectranthus vettiveroides'})
7,0.16,frozenset({'cyperus rotundus'})
8,0.24,frozenset({'terminalia bellirica'})
9,0.12,frozenset({'borassus flabellifer'})
10,0.2,frozenset({'sesamum indicum'})
11,0.12,frozenset({'santalum album'})
12,0.12,frozenset({'syzygium aromaticum'})
13,0.44,frozenset({'trikatu'})
14,0.12,frozenset({'curcuma zedoaria'})
15,0.2,frozenset({'hemidesmus indicus'})
16,0.12,frozenset({'nei'})
17,0.16,frozenset({'glycyrrhiza glabra'})
18,0.16,frozenset({'curculigo orchioides'})
19,0.12,"frozenset({'myristica fragrans', 'trikatu'})"
20,0.12,"frozenset({'myristica fragrans', 'glycyrrhiza glabra'})"
21,0.16,"frozenset({'costus speciosus', 'triphala'})"
22,0.12,"frozenset({'triphala', 'cyperus rotundus'})"
23,0.24,"frozenset({'terminalia bellirica', 'triphala'})"
24,0.2,"frozenset({'triphala', 'trikatu'})"
25,0.12,"frozenset({'triphala', 'curcuma zedoaria'})"
26,0.12,"frozenset({'cuminum cyminum', 'trikatu'})"
27,0.12,"frozenset({'costus speciosus', 'plectranthus vettiveroides'})"
28,0.12,"frozenset({'costus speciosus', 'cyperus rotundus'})"
29,0.12,"frozenset({'terminalia bellirica', 'costus speciosus'})"
30,0.2,"frozenset({'costus speciosus', 'trikatu'})"
31,0.12,"frozenset({'trikatu', 'plectranthus vettiveroides'})"
32,0.2,"frozenset({'terminalia bellirica', 'trikatu'})"
33,0.12,"frozenset({'syzygium aromaticum', 'trikatu'})"
34,0.12,"frozenset({'hemidesmus indicus', 'trikatu'})"
35,0.16,"frozenset({'glycyrrhiza glabra', 'trikatu'})"
36,0.12,"frozenset({'myristica fragrans', 'glycyrrhiza glabra', 'trikatu'})"
37,0.12,"frozenset({'costus speciosus', 'triphala', 'cyperus rotundus'})"
38,0.12,"frozenset({'terminalia bellirica', 'costus speciosus', 'triphala'})"
39,0.12,"frozenset({'costus speciosus', 'triphala', 'trikatu'})"
40,0.2,"frozenset({'terminalia bellirica', 'triphala', 'trikatu'})"
41,0.12,"frozenset({'trikatu', 'costus speciosus', 'plectranthus vettiveroides'})"
42,0.12,"frozenset({'terminalia bellirica', 'costus speciosus', 'trikatu'})"
43,0.12,"frozenset({'terminalia bellirica', 'costus speciosus', 'triphala', 'trikatu'})"
