,support,itemsets
0,0.10344827586206896,frozenset({'aloe barbadensis'})
1,0.1206896551724138,frozenset({'myristica fragrans'})
2,0.2413793103448276,frozenset({'triphala'})
3,0.1206896551724138,frozenset({'cuminum cyminum'})
4,0.15517241379310345,frozenset({'costus speciosus'})
5,0.10344827586206896,frozenset({'cassia auriculata'})
6,0.10344827586206896,frozenset({'cyperus rotundus'})
7,0.15517241379310345,frozenset({'terminalia bellirica'})
8,0.10344827586206896,frozenset({'milk'})
9,0.10344827586206896,frozenset({'sesamum indicum'})
10,0.13793103448275862,frozenset({'syzygium aromaticum'})
11,0.3103448275862069,frozenset({'trikatu'})
12,0.13793103448275862,frozenset({'tinospora cordifolia'})
13,0.1206896551724138,frozenset({'hemidesmus indicus'})
14,0.13793103448275862,frozenset({'glycyrrhiza glabra'})
15,0.10344827586206896,frozenset({'elettaria cardamomum'})
16,0.10344827586206896,"frozenset({'costus speciosus', 'triphala'})"
17,0.13793103448275862,"frozenset({'terminalia bellirica', 'triphala'})"
18,0.13793103448275862,"frozenset({'triphala', 'trikatu'})"
19,0.10344827586206896,"frozenset({'costus speciosus', 'trikatu'})"
20,0.13793103448275862,"frozenset({'terminalia bellirica', 'trikatu'})"
21,0.10344827586206896,"frozenset({'syzygium aromaticum', 'trikatu'})"
22,0.10344827586206896,"frozenset({'syzygium aromaticum', 'elettaria cardamomum'})"
23,0.1206896551724138,"frozenset({'terminalia bellirica', 'triphala', 'trikatu'})"
