,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'solanum surattense'}),frozenset({'solanum trilobatum'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
1,frozenset({'solanum trilobatum'}),frozenset({'solanum surattense'}),0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
2,frozenset({'glycyrrhiza glabra'}),frozenset({'syzygium aromaticum'}),0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
3,frozenset({'syzygium aromaticum'}),frozenset({'glycyrrhiza glabra'}),0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
4,frozenset({'alpinia galanga'}),frozenset({'solanum surattense'}),0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
5,frozenset({'solanum surattense'}),frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
6,"frozenset({'solanum surattense', 'triphala'})",frozenset({'solanum trilobatum'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
7,"frozenset({'triphala', 'solanum trilobatum'})",frozenset({'solanum surattense'}),0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
8,frozenset({'solanum surattense'}),"frozenset({'triphala', 'solanum trilobatum'})",0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
9,frozenset({'solanum trilobatum'}),"frozenset({'solanum surattense', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
10,"frozenset({'triphala', 'solanum trilobatum'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
11,frozenset({'alpinia galanga'}),"frozenset({'triphala', 'solanum trilobatum'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
12,"frozenset({'saccharum officinarum', 'triphala'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
13,frozenset({'alpinia galanga'}),"frozenset({'saccharum officinarum', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
14,"frozenset({'alpinia galanga', 'triphala'})",frozenset({'solanum surattense'}),0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
15,"frozenset({'solanum surattense', 'triphala'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
16,frozenset({'alpinia galanga'}),"frozenset({'solanum surattense', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
17,frozenset({'solanum surattense'}),"frozenset({'alpinia galanga', 'triphala'})",0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
18,"frozenset({'solanum surattense', 'trikatu'})",frozenset({'solanum trilobatum'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
19,"frozenset({'solanum trilobatum', 'trikatu'})",frozenset({'solanum surattense'}),0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
20,frozenset({'solanum surattense'}),"frozenset({'solanum trilobatum', 'trikatu'})",0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
21,frozenset({'solanum trilobatum'}),"frozenset({'solanum surattense', 'trikatu'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
22,"frozenset({'solanum trilobatum', 'trikatu'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
23,frozenset({'alpinia galanga'}),"frozenset({'solanum trilobatum', 'trikatu'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
24,"frozenset({'alpinia galanga', 'solanum surattense'})",frozenset({'solanum trilobatum'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
25,"frozenset({'alpinia galanga', 'solanum trilobatum'})",frozenset({'solanum surattense'}),0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
26,"frozenset({'solanum surattense', 'solanum trilobatum'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
27,frozenset({'alpinia galanga'}),"frozenset({'solanum surattense', 'solanum trilobatum'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
28,frozenset({'solanum surattense'}),"frozenset({'alpinia galanga', 'solanum trilobatum'})",0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
29,frozenset({'solanum trilobatum'}),"frozenset({'alpinia galanga', 'solanum surattense'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
