,support,itemsets
0,0.23076923076923078,frozenset({'honey'})
1,0.23076923076923078,frozenset({'myristica fragrans'})
2,0.15384615384615385,frozenset({'triphala'})
3,0.3076923076923077,frozenset({'abies spectabilis'})
4,0.15384615384615385,frozenset({'mesua nagassarium'})
5,0.15384615384615385,frozenset({'thalagam'})
6,0.15384615384615385,frozenset({'carum copticum'})
7,0.23076923076923078,frozenset({'cuminum cyminum'})
8,0.38461538461538464,frozenset({'costus speciosus'})
9,0.23076923076923078,frozenset({'saccharum officinarum'})
10,0.23076923076923078,frozenset({'plectranthus vettiveroides'})
11,0.15384615384615385,frozenset({'nardostachys grandiflora'})
12,0.15384615384615385,frozenset({'milk'})
13,0.15384615384615385,frozenset({'santalum album'})
14,0.23076923076923078,frozenset({'syzygium aromaticum'})
15,0.38461538461538464,frozenset({'trikatu'})
16,0.15384615384615385,frozenset({'solanum surattense'})
17,0.15384615384615385,frozenset({'acalypha indica'})
18,0.15384615384615385,frozenset({'nei'})
19,0.15384615384615385,frozenset({'nigella sativa'})
20,0.23076923076923078,frozenset({'glycyrrhiza glabra'})
21,0.15384615384615385,frozenset({'elettaria cardamomum'})
22,0.15384615384615385,"frozenset({'myristica fragrans', 'honey'})"
23,0.23076923076923078,"frozenset({'honey', 'abies spectabilis'})"
24,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum'})"
25,0.15384615384615385,"frozenset({'honey', 'saccharum officinarum'})"
26,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides'})"
27,0.15384615384615385,"frozenset({'honey', 'milk'})"
28,0.15384615384615385,"frozenset({'honey', 'syzygium aromaticum'})"
29,0.15384615384615385,"frozenset({'honey', 'trikatu'})"
30,0.15384615384615385,"frozenset({'honey', 'nei'})"
31,0.15384615384615385,"frozenset({'myristica fragrans', 'abies spectabilis'})"
32,0.15384615384615385,"frozenset({'myristica fragrans', 'cuminum cyminum'})"
33,0.15384615384615385,"frozenset({'myristica fragrans', 'costus speciosus'})"
34,0.15384615384615385,"frozenset({'myristica fragrans', 'saccharum officinarum'})"
35,0.15384615384615385,"frozenset({'myristica fragrans', 'plectranthus vettiveroides'})"
36,0.15384615384615385,"frozenset({'myristica fragrans', 'milk'})"
37,0.23076923076923078,"frozenset({'myristica fragrans', 'syzygium aromaticum'})"
38,0.15384615384615385,"frozenset({'myristica fragrans', 'trikatu'})"
39,0.15384615384615385,"frozenset({'myristica fragrans', 'nei'})"
40,0.15384615384615385,"frozenset({'myristica fragrans', 'glycyrrhiza glabra'})"
41,0.23076923076923078,"frozenset({'cuminum cyminum', 'abies spectabilis'})"
42,0.15384615384615385,"frozenset({'costus speciosus', 'abies spectabilis'})"
43,0.23076923076923078,"frozenset({'saccharum officinarum', 'abies spectabilis'})"
44,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis'})"
45,0.15384615384615385,"frozenset({'abies spectabilis', 'milk'})"
46,0.15384615384615385,"frozenset({'syzygium aromaticum', 'abies spectabilis'})"
