,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'trikatu', 'triphala'})","frozenset({'terminalia bellirica', 'costus speciosus'})",0.2,0.12,0.12,0.6,5.0,0.096,2.1999999999999997,1.0
1,"frozenset({'terminalia bellirica', 'costus speciosus'})","frozenset({'trikatu', 'triphala'})",0.12,0.2,0.12,1.0,5.0,0.096,inf,0.9090909090909091
2,"frozenset({'trikatu', 'costus speciosus'})",frozenset({'plectranthus vettiveroides'}),0.2,0.12,0.12,0.6,5.0,0.096,2.1999999999999997,1.0
3,frozenset({'plectranthus vettiveroides'}),"frozenset({'trikatu', 'costus speciosus'})",0.12,0.2,0.12,1.0,5.0,0.096,inf,0.9090909090909091
4,frozenset({'glycyrrhiza glabra'}),frozenset({'myristica fragrans'}),0.16,0.12,0.12,0.75,6.25,0.1008,3.52,1.0000000000000002
5,frozenset({'myristica fragrans'}),frozenset({'glycyrrhiza glabra'}),0.12,0.16,0.12,1.0,6.25,0.1008,inf,0.9545454545454546
6,"frozenset({'trikatu', 'glycyrrhiza glabra'})",frozenset({'myristica fragrans'}),0.16,0.12,0.12,0.75,6.25,0.1008,3.52,1.0000000000000002
7,"frozenset({'trikatu', 'myristica fragrans'})",frozenset({'glycyrrhiza glabra'}),0.12,0.16,0.12,1.0,6.25,0.1008,inf,0.9545454545454546
8,frozenset({'glycyrrhiza glabra'}),"frozenset({'trikatu', 'myristica fragrans'})",0.16,0.12,0.12,0.75,6.25,0.1008,3.52,1.0000000000000002
9,frozenset({'myristica fragrans'}),"frozenset({'trikatu', 'glycyrrhiza glabra'})",0.12,0.16,0.12,1.0,6.25,0.1008,inf,0.9545454545454546
