,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'saccharum officinarum', 'trikatu'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
1,frozenset({'alpinia galanga'}),"frozenset({'saccharum officinarum', 'trikatu'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
2,"frozenset({'saccharum officinarum', 'triphala'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
3,frozenset({'alpinia galanga'}),"frozenset({'saccharum officinarum', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
4,"frozenset({'saccharum officinarum', 'trikatu', 'triphala'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
5,"frozenset({'saccharum officinarum', 'trikatu'})","frozenset({'alpinia galanga', 'triphala'})",0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
6,"frozenset({'saccharum officinarum', 'triphala'})","frozenset({'trikatu', 'alpinia galanga'})",0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
7,"frozenset({'trikatu', 'alpinia galanga'})","frozenset({'saccharum officinarum', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
8,"frozenset({'alpinia galanga', 'triphala'})","frozenset({'saccharum officinarum', 'trikatu'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
9,frozenset({'alpinia galanga'}),"frozenset({'saccharum officinarum', 'trikatu', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
