,support,itemsets
0,0.14285714285714285,frozenset({'withania somnifera'})
1,0.14285714285714285,frozenset({'cuminum cyminum'})
2,0.14285714285714285,frozenset({'calotropis gigantea'})
3,0.19047619047619047,frozenset({'solanum trilobatum'})
4,0.19047619047619047,frozenset({'eclipta prostrata'})
5,0.5714285714285714,frozenset({'trikatu'})
6,0.38095238095238093,frozenset({'triphala'})
7,0.23809523809523808,frozenset({'carum copticum'})
8,0.19047619047619047,frozenset({'saccharum officinarum'})
9,0.19047619047619047,frozenset({'alpinia galanga'})
10,0.14285714285714285,frozenset({'solanum surattense'})
11,0.14285714285714285,frozenset({'syzygium aromaticum'})
12,0.14285714285714285,frozenset({'nei'})
13,0.14285714285714285,frozenset({'glycyrrhiza glabra'})
14,0.2857142857142857,frozenset({'terminalia bellirica'})
15,0.14285714285714285,frozenset({'croton tiglium'})
16,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala'})"
17,0.14285714285714285,"frozenset({'trikatu', 'solanum trilobatum'})"
18,0.14285714285714285,"frozenset({'trikatu', 'solanum trilobatum', 'triphala'})"
19,0.14285714285714285,"frozenset({'eclipta prostrata', 'solanum trilobatum'})"
20,0.14285714285714285,"frozenset({'trikatu', 'eclipta prostrata'})"
21,0.38095238095238093,"frozenset({'trikatu', 'triphala'})"
22,0.23809523809523808,"frozenset({'trikatu', 'carum copticum'})"
23,0.19047619047619047,"frozenset({'carum copticum', 'triphala'})"
24,0.19047619047619047,"frozenset({'trikatu', 'carum copticum', 'triphala'})"
25,0.14285714285714285,"frozenset({'saccharum officinarum', 'triphala'})"
26,0.14285714285714285,"frozenset({'saccharum officinarum', 'trikatu'})"
27,0.14285714285714285,"frozenset({'saccharum officinarum', 'trikatu', 'triphala'})"
28,0.19047619047619047,"frozenset({'alpinia galanga', 'triphala'})"
29,0.19047619047619047,"frozenset({'trikatu', 'alpinia galanga'})"
30,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga'})"
31,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum'})"
32,0.19047619047619047,"frozenset({'trikatu', 'alpinia galanga', 'triphala'})"
33,0.14285714285714285,"frozenset({'saccharum officinarum', 'trikatu', 'alpinia galanga'})"
34,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga', 'triphala'})"
35,0.14285714285714285,"frozenset({'saccharum officinarum', 'trikatu', 'alpinia galanga', 'triphala'})"
36,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'solanum trilobatum'})"
37,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum', 'triphala'})"
38,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'solanum trilobatum', 'triphala'})"
39,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense'})"
40,0.14285714285714285,"frozenset({'solanum trilobatum', 'solanum surattense'})"
41,0.14285714285714285,"frozenset({'solanum surattense', 'triphala'})"
42,0.14285714285714285,"frozenset({'trikatu', 'solanum surattense'})"
43,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum', 'solanum surattense'})"
44,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense', 'triphala'})"
45,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'solanum surattense'})"
46,0.14285714285714285,"frozenset({'solanum trilobatum', 'solanum surattense', 'triphala'})"
47,0.14285714285714285,"frozenset({'trikatu', 'solanum trilobatum', 'solanum surattense'})"
48,0.14285714285714285,"frozenset({'trikatu', 'solanum surattense', 'triphala'})"
49,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum', 'solanum surattense', 'triphala'})"
50,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'solanum trilobatum', 'solanum surattense'})"
51,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'solanum surattense', 'triphala'})"
52,0.14285714285714285,"frozenset({'trikatu', 'solanum trilobatum', 'solanum surattense', 'triphala'})"
53,0.14285714285714285,"frozenset({'solanum trilobatum', 'triphala', 'alpinia galanga', 'trikatu', 'solanum surattense'})"
54,0.14285714285714285,"frozenset({'glycyrrhiza glabra', 'syzygium aromaticum'})"
55,0.2857142857142857,"frozenset({'trikatu', 'terminalia bellirica'})"
56,0.23809523809523808,"frozenset({'terminalia bellirica', 'triphala'})"
57,0.23809523809523808,"frozenset({'trikatu', 'terminalia bellirica', 'triphala'})"
58,0.14285714285714285,"frozenset({'terminalia bellirica', 'croton tiglium'})"
59,0.14285714285714285,"frozenset({'trikatu', 'croton tiglium'})"
60,0.14285714285714285,"frozenset({'trikatu', 'terminalia bellirica', 'croton tiglium'})"
