,support,itemsets
0,0.38461538461538464,frozenset({'costus speciosus'})
1,0.38461538461538464,frozenset({'trikatu'})
2,0.3076923076923077,frozenset({'abies spectabilis'})
3,0.23076923076923078,frozenset({'plectranthus vettiveroides'})
4,0.23076923076923078,frozenset({'cuminum cyminum'})
5,0.23076923076923078,frozenset({'glycyrrhiza glabra'})
6,0.23076923076923078,frozenset({'honey'})
7,0.23076923076923078,frozenset({'myristica fragrans'})
8,0.23076923076923078,frozenset({'saccharum officinarum'})
9,0.23076923076923078,frozenset({'syzygium aromaticum'})
10,0.15384615384615385,frozenset({'nigella sativa'})
11,0.15384615384615385,frozenset({'nei'})
12,0.15384615384615385,frozenset({'milk'})
13,0.15384615384615385,frozenset({'santalum album'})
14,0.15384615384615385,frozenset({'mesua nagassarium'})
15,0.15384615384615385,frozenset({'carum copticum'})
16,0.15384615384615385,frozenset({'acalypha indica'})
17,0.15384615384615385,frozenset({'nardostachys grandiflora'})
18,0.15384615384615385,frozenset({'elettaria cardamomum'})
19,0.15384615384615385,frozenset({'solanum surattense'})
20,0.15384615384615385,frozenset({'triphala'})
21,0.15384615384615385,frozenset({'thalagam'})
22,0.23076923076923078,"frozenset({'trikatu', 'costus speciosus'})"
23,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis'})"
24,0.15384615384615385,"frozenset({'costus speciosus', 'abies spectabilis'})"
25,0.23076923076923078,"frozenset({'trikatu', 'plectranthus vettiveroides'})"
26,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides'})"
27,0.15384615384615385,"frozenset({'costus speciosus', 'plectranthus vettiveroides'})"
28,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis', 'plectranthus vettiveroides'})"
29,0.15384615384615385,"frozenset({'trikatu', 'costus speciosus', 'plectranthus vettiveroides'})"
30,0.23076923076923078,"frozenset({'abies spectabilis', 'cuminum cyminum'})"
31,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides'})"
32,0.15384615384615385,"frozenset({'trikatu', 'cuminum cyminum'})"
33,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum'})"
34,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'plectranthus vettiveroides'})"
35,0.15384615384615385,"frozenset({'trikatu', 'cuminum cyminum', 'plectranthus vettiveroides'})"
36,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis', 'cuminum cyminum'})"
37,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis', 'cuminum cyminum', 'plectranthus vettiveroides'})"
38,0.15384615384615385,"frozenset({'costus speciosus', 'abies spectabilis', 'cuminum cyminum'})"
39,0.23076923076923078,"frozenset({'glycyrrhiza glabra', 'costus speciosus'})"
40,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'cuminum cyminum'})"
41,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis'})"
42,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'costus speciosus', 'cuminum cyminum'})"
43,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis', 'costus speciosus'})"
44,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis', 'cuminum cyminum'})"
45,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis', 'costus speciosus', 'cuminum cyminum'})"
46,0.23076923076923078,"frozenset({'abies spectabilis', 'honey'})"
47,0.15384615384615385,"frozenset({'cuminum cyminum', 'honey'})"
48,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides'})"
49,0.15384615384615385,"frozenset({'trikatu', 'honey'})"
50,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'honey'})"
51,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'plectranthus vettiveroides'})"
52,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis', 'honey'})"
53,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides', 'honey'})"
54,0.15384615384615385,"frozenset({'trikatu', 'cuminum cyminum', 'honey'})"
55,0.15384615384615385,"frozenset({'trikatu', 'honey', 'plectranthus vettiveroides'})"
56,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'plectranthus vettiveroides', 'honey'})"
57,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis', 'cuminum cyminum', 'honey'})"
58,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis', 'honey', 'plectranthus vettiveroides'})"
59,0.15384615384615385,"frozenset({'trikatu', 'cuminum cyminum', 'plectranthus vettiveroides', 'honey'})"
