,support,itemsets
57,0.23809523809523808,"frozenset({'terminalia bellirica', 'trikatu', 'triphala'})"
24,0.19047619047619047,"frozenset({'trikatu', 'carum copticum', 'triphala'})"
32,0.19047619047619047,"frozenset({'trikatu', 'alpinia galanga', 'triphala'})"
18,0.14285714285714285,"frozenset({'trikatu', 'solanum trilobatum', 'triphala'})"
27,0.14285714285714285,"frozenset({'trikatu', 'saccharum officinarum', 'triphala'})"
33,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'saccharum officinarum'})"
34,0.14285714285714285,"frozenset({'alpinia galanga', 'saccharum officinarum', 'triphala'})"
36,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'solanum trilobatum'})"
37,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum', 'triphala'})"
43,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum trilobatum', 'solanum surattense'})"
44,0.14285714285714285,"frozenset({'alpinia galanga', 'solanum surattense', 'triphala'})"
45,0.14285714285714285,"frozenset({'trikatu', 'alpinia galanga', 'solanum surattense'})"
46,0.14285714285714285,"frozenset({'solanum trilobatum', 'solanum surattense', 'triphala'})"
47,0.14285714285714285,"frozenset({'trikatu', 'solanum trilobatum', 'solanum surattense'})"
48,0.14285714285714285,"frozenset({'trikatu', 'solanum surattense', 'triphala'})"
60,0.14285714285714285,"frozenset({'terminalia bellirica', 'trikatu', 'croton tiglium'})"
