,support,itemsets
0,0.38461538461538464,frozenset({'costus speciosus'})
1,0.38461538461538464,frozenset({'trikatu'})
2,0.3076923076923077,frozenset({'abies spectabilis'})
3,0.23076923076923078,frozenset({'plectranthus vettiveroides'})
4,0.23076923076923078,frozenset({'cuminum cyminum'})
5,0.23076923076923078,frozenset({'glycyrrhiza glabra'})
6,0.23076923076923078,frozenset({'honey'})
7,0.23076923076923078,frozenset({'myristica fragrans'})
8,0.23076923076923078,frozenset({'saccharum officinarum'})
9,0.23076923076923078,frozenset({'syzygium aromaticum'})
10,0.15384615384615385,frozenset({'nigella sativa'})
11,0.15384615384615385,frozenset({'nei'})
12,0.15384615384615385,frozenset({'milk'})
13,0.15384615384615385,frozenset({'santalum album'})
14,0.15384615384615385,frozenset({'mesua nagassarium'})
15,0.15384615384615385,frozenset({'carum copticum'})
16,0.15384615384615385,frozenset({'acalypha indica'})
17,0.15384615384615385,frozenset({'nardostachys grandiflora'})
18,0.15384615384615385,frozenset({'elettaria cardamomum'})
19,0.15384615384615385,frozenset({'solanum surattense'})
20,0.15384615384615385,frozenset({'triphala'})
21,0.15384615384615385,frozenset({'thalagam'})
22,0.23076923076923078,"frozenset({'costus speciosus', 'trikatu'})"
23,0.15384615384615385,"frozenset({'trikatu', 'abies spectabilis'})"
24,0.15384615384615385,"frozenset({'costus speciosus', 'abies spectabilis'})"
25,0.23076923076923078,"frozenset({'trikatu', 'plectranthus vettiveroides'})"
26,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'abies spectabilis'})"
27,0.15384615384615385,"frozenset({'costus speciosus', 'plectranthus vettiveroides'})"
28,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'abies spectabilis'})"
29,0.15384615384615385,"frozenset({'costus speciosus', 'plectranthus vettiveroides', 'trikatu'})"
30,0.23076923076923078,"frozenset({'cuminum cyminum', 'abies spectabilis'})"
31,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'cuminum cyminum'})"
32,0.15384615384615385,"frozenset({'trikatu', 'cuminum cyminum'})"
33,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum'})"
34,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'cuminum cyminum', 'abies spectabilis'})"
35,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'cuminum cyminum'})"
36,0.15384615384615385,"frozenset({'trikatu', 'cuminum cyminum', 'abies spectabilis'})"
37,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'cuminum cyminum', 'abies spectabilis'})"
38,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum', 'abies spectabilis'})"
39,0.23076923076923078,"frozenset({'costus speciosus', 'glycyrrhiza glabra'})"
40,0.15384615384615385,"frozenset({'cuminum cyminum', 'glycyrrhiza glabra'})"
41,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'abies spectabilis'})"
42,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum', 'glycyrrhiza glabra'})"
43,0.15384615384615385,"frozenset({'costus speciosus', 'glycyrrhiza glabra', 'abies spectabilis'})"
44,0.15384615384615385,"frozenset({'cuminum cyminum', 'glycyrrhiza glabra', 'abies spectabilis'})"
45,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum', 'glycyrrhiza glabra', 'abies spectabilis'})"
46,0.23076923076923078,"frozenset({'honey', 'abies spectabilis'})"
47,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum'})"
48,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides'})"
49,0.15384615384615385,"frozenset({'trikatu', 'honey'})"
50,0.15384615384615385,"frozenset({'honey', 'cuminum cyminum', 'abies spectabilis'})"
51,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides', 'abies spectabilis'})"
52,0.15384615384615385,"frozenset({'trikatu', 'honey', 'abies spectabilis'})"
53,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides', 'cuminum cyminum'})"
54,0.15384615384615385,"frozenset({'trikatu', 'honey', 'cuminum cyminum'})"
55,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'honey'})"
56,0.15384615384615385,"frozenset({'honey', 'plectranthus vettiveroides', 'cuminum cyminum', 'abies spectabilis'})"
57,0.15384615384615385,"frozenset({'trikatu', 'honey', 'cuminum cyminum', 'abies spectabilis'})"
58,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'honey', 'abies spectabilis'})"
59,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'honey', 'cuminum cyminum'})"
