,support,itemsets
37,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'cuminum cyminum', 'abies spectabilis'})"
662,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum', 'saccharum officinarum', 'myristica fragrans'})"
636,0.15384615384615385,"frozenset({'honey', 'milk', 'syzygium aromaticum', 'nei'})"
637,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum', 'cuminum cyminum', 'nei'})"
638,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum', 'plectranthus vettiveroides', 'nei'})"
639,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum', 'abies spectabilis', 'nei'})"
640,0.15384615384615385,"frozenset({'trikatu', 'milk', 'syzygium aromaticum', 'nei'})"
641,0.15384615384615385,"frozenset({'milk', 'saccharum officinarum', 'myristica fragrans', 'nei'})"
642,0.15384615384615385,"frozenset({'honey', 'milk', 'saccharum officinarum', 'nei'})"
643,0.15384615384615385,"frozenset({'milk', 'saccharum officinarum', 'cuminum cyminum', 'nei'})"
644,0.15384615384615385,"frozenset({'milk', 'plectranthus vettiveroides', 'saccharum officinarum', 'nei'})"
645,0.15384615384615385,"frozenset({'milk', 'saccharum officinarum', 'nei', 'abies spectabilis'})"
646,0.15384615384615385,"frozenset({'trikatu', 'milk', 'saccharum officinarum', 'nei'})"
647,0.15384615384615385,"frozenset({'honey', 'milk', 'myristica fragrans', 'nei'})"
648,0.15384615384615385,"frozenset({'milk', 'myristica fragrans', 'cuminum cyminum', 'nei'})"
649,0.15384615384615385,"frozenset({'milk', 'plectranthus vettiveroides', 'myristica fragrans', 'nei'})"
650,0.15384615384615385,"frozenset({'milk', 'myristica fragrans', 'nei', 'abies spectabilis'})"
651,0.15384615384615385,"frozenset({'trikatu', 'milk', 'myristica fragrans', 'nei'})"
652,0.15384615384615385,"frozenset({'honey', 'milk', 'cuminum cyminum', 'nei'})"
653,0.15384615384615385,"frozenset({'honey', 'milk', 'plectranthus vettiveroides', 'nei'})"
654,0.15384615384615385,"frozenset({'honey', 'milk', 'nei', 'abies spectabilis'})"
655,0.15384615384615385,"frozenset({'trikatu', 'milk', 'honey', 'nei'})"
656,0.15384615384615385,"frozenset({'milk', 'plectranthus vettiveroides', 'cuminum cyminum', 'nei'})"
657,0.15384615384615385,"frozenset({'cuminum cyminum', 'milk', 'nei', 'abies spectabilis'})"
658,0.15384615384615385,"frozenset({'trikatu', 'milk', 'cuminum cyminum', 'nei'})"
659,0.15384615384615385,"frozenset({'milk', 'plectranthus vettiveroides', 'nei', 'abies spectabilis'})"
660,0.15384615384615385,"frozenset({'trikatu', 'milk', 'plectranthus vettiveroides', 'nei'})"
635,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum', 'myristica fragrans', 'nei'})"
634,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum', 'saccharum officinarum', 'nei'})"
425,0.15384615384615385,"frozenset({'trikatu', 'plectranthus vettiveroides', 'nei', 'abies spectabilis'})"
411,0.15384615384615385,"frozenset({'cuminum cyminum', 'myristica fragrans', 'nei', 'abies spectabilis'})"
