,support,itemsets
0,0.14285714285714285,frozenset({'withania somnifera'})
1,0.14285714285714285,frozenset({'cuminum cyminum'})
2,0.14285714285714285,frozenset({'calotropis gigantea'})
3,0.19047619047619047,frozenset({'solanum trilobatum'})
4,0.19047619047619047,frozenset({'eclipta prostrata'})
5,0.5714285714285714,frozenset({'trikatu'})
6,0.38095238095238093,frozenset({'triphala'})
7,0.23809523809523808,frozenset({'carum copticum'})
8,0.19047619047619047,frozenset({'saccharum officinarum'})
9,0.19047619047619047,frozenset({'alpinia galanga'})
10,0.14285714285714285,frozenset({'solanum surattense'})
11,0.14285714285714285,frozenset({'syzygium aromaticum'})
12,0.14285714285714285,frozenset({'nei'})
13,0.14285714285714285,frozenset({'glycyrrhiza glabra'})
14,0.2857142857142857,frozenset({'terminalia bellirica'})
15,0.14285714285714285,frozenset({'croton tiglium'})
16,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum'})"
17,0.14285714285714285,"frozenset({'solanum trilobatum', 'trikatu'})"
18,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'trikatu'})"
19,0.14285714285714285,"frozenset({'eclipta prostrata', 'solanum trilobatum'})"
20,0.14285714285714285,"frozenset({'eclipta prostrata', 'trikatu'})"
21,0.38095238095238093,"frozenset({'triphala', 'trikatu'})"
22,0.23809523809523808,"frozenset({'carum copticum', 'trikatu'})"
23,0.19047619047619047,"frozenset({'carum copticum', 'triphala'})"
24,0.19047619047619047,"frozenset({'carum copticum', 'triphala', 'trikatu'})"
25,0.14285714285714285,"frozenset({'triphala', 'saccharum officinarum'})"
26,0.14285714285714285,"frozenset({'saccharum officinarum', 'trikatu'})"
27,0.14285714285714285,"frozenset({'triphala', 'saccharum officinarum', 'trikatu'})"
28,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga'})"
29,0.19047619047619047,"frozenset({'alpinia galanga', 'trikatu'})"
30,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga'})"
31,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga'})"
32,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga', 'trikatu'})"
33,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga', 'trikatu'})"
34,0.14285714285714285,"frozenset({'triphala', 'saccharum officinarum', 'alpinia galanga'})"
35,0.14285714285714285,"frozenset({'triphala', 'saccharum officinarum', 'alpinia galanga', 'trikatu'})"
36,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
37,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'alpinia galanga'})"
38,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
39,0.14285714285714285,"frozenset({'solanum surattense', 'alpinia galanga'})"
40,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum'})"
41,0.14285714285714285,"frozenset({'triphala', 'solanum surattense'})"
42,0.14285714285714285,"frozenset({'solanum surattense', 'trikatu'})"
43,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'alpinia galanga'})"
44,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'alpinia galanga'})"
45,0.14285714285714285,"frozenset({'solanum surattense', 'alpinia galanga', 'trikatu'})"
46,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'solanum trilobatum'})"
47,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'trikatu'})"
48,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'trikatu'})"
49,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'solanum trilobatum', 'alpinia galanga'})"
50,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
51,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'alpinia galanga', 'trikatu'})"
52,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'solanum trilobatum', 'trikatu'})"
53,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'alpinia galanga', 'solanum trilobatum', 'trikatu'})"
54,0.14285714285714285,"frozenset({'glycyrrhiza glabra', 'syzygium aromaticum'})"
55,0.2857142857142857,"frozenset({'terminalia bellirica', 'trikatu'})"
56,0.23809523809523808,"frozenset({'triphala', 'terminalia bellirica'})"
57,0.23809523809523808,"frozenset({'triphala', 'terminalia bellirica', 'trikatu'})"
58,0.14285714285714285,"frozenset({'terminalia bellirica', 'croton tiglium'})"
59,0.14285714285714285,"frozenset({'croton tiglium', 'trikatu'})"
60,0.14285714285714285,"frozenset({'terminalia bellirica', 'croton tiglium', 'trikatu'})"
