,support,itemsets
0,0.38461538461538464,frozenset({'costus speciosus'})
1,0.38461538461538464,frozenset({'trikatu'})
2,0.3076923076923077,frozenset({'abies spectabilis'})
3,0.23076923076923078,frozenset({'plectranthus vettiveroides'})
4,0.23076923076923078,frozenset({'cuminum cyminum'})
5,0.23076923076923078,frozenset({'glycyrrhiza glabra'})
6,0.23076923076923078,frozenset({'honey'})
7,0.23076923076923078,frozenset({'myristica fragrans'})
8,0.23076923076923078,frozenset({'saccharum officinarum'})
9,0.23076923076923078,frozenset({'syzygium aromaticum'})
10,0.15384615384615385,frozenset({'nigella sativa'})
11,0.15384615384615385,frozenset({'nei'})
12,0.15384615384615385,frozenset({'milk'})
13,0.15384615384615385,frozenset({'santalum album'})
14,0.15384615384615385,frozenset({'mesua nagassarium'})
15,0.15384615384615385,frozenset({'carum copticum'})
16,0.15384615384615385,frozenset({'acalypha indica'})
17,0.15384615384615385,frozenset({'nardostachys grandiflora'})
18,0.15384615384615385,frozenset({'elettaria cardamomum'})
19,0.15384615384615385,frozenset({'solanum surattense'})
20,0.15384615384615385,frozenset({'triphala'})
21,0.15384615384615385,frozenset({'thalagam'})
22,0.23076923076923078,"frozenset({'costus speciosus', 'trikatu'})"
23,0.15384615384615385,"frozenset({'abies spectabilis', 'trikatu'})"
24,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus'})"
25,0.23076923076923078,"frozenset({'plectranthus vettiveroides', 'trikatu'})"
26,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides'})"
27,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'costus speciosus'})"
28,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides', 'trikatu'})"
29,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'costus speciosus', 'trikatu'})"
30,0.23076923076923078,"frozenset({'abies spectabilis', 'cuminum cyminum'})"
31,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides'})"
32,0.15384615384615385,"frozenset({'cuminum cyminum', 'trikatu'})"
33,0.15384615384615385,"frozenset({'cuminum cyminum', 'costus speciosus'})"
34,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'plectranthus vettiveroides'})"
35,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides', 'trikatu'})"
36,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'trikatu'})"
37,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'plectranthus vettiveroides', 'trikatu'})"
38,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'costus speciosus'})"
39,0.23076923076923078,"frozenset({'glycyrrhiza glabra', 'costus speciosus'})"
40,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'cuminum cyminum'})"
41,0.15384615384615385,"frozenset({'abies spectabilis', 'glycyrrhiza glabra'})"
42,0.15384615384615385,"frozenset({'glycyrrhiza glabra', 'cuminum cyminum', 'costus speciosus'})"
43,0.15384615384615385,"frozenset({'abies spectabilis', 'glycyrrhiza glabra', 'costus speciosus'})"
44,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'glycyrrhiza glabra'})"
45,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'glycyrrhiza glabra', 'costus speciosus'})"
46,0.23076923076923078,"frozenset({'abies spectabilis', 'honey'})"
47,0.15384615384615385,"frozenset({'cuminum cyminum', 'honey'})"
48,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'honey'})"
49,0.15384615384615385,"frozenset({'honey', 'trikatu'})"
50,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'honey'})"
51,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides', 'honey'})"
52,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'trikatu'})"
53,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides', 'honey'})"
54,0.15384615384615385,"frozenset({'cuminum cyminum', 'honey', 'trikatu'})"
55,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'honey', 'trikatu'})"
56,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'plectranthus vettiveroides', 'honey'})"
57,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'honey', 'trikatu'})"
58,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides', 'honey', 'trikatu'})"
59,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides', 'honey', 'trikatu'})"
