,support,itemsets
103,0.23076923076923078,"frozenset({'abies spectabilis', 'cuminum cyminum', 'saccharum officinarum'})"
28,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides', 'trikatu'})"
356,0.15384615384615385,"frozenset({'cuminum cyminum', 'nei', 'myristica fragrans'})"
358,0.15384615384615385,"frozenset({'abies spectabilis', 'nei', 'myristica fragrans'})"
359,0.15384615384615385,"frozenset({'myristica fragrans', 'nei', 'trikatu'})"
360,0.15384615384615385,"frozenset({'cuminum cyminum', 'honey', 'nei'})"
361,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'honey', 'nei'})"
362,0.15384615384615385,"frozenset({'abies spectabilis', 'honey', 'nei'})"
363,0.15384615384615385,"frozenset({'honey', 'nei', 'trikatu'})"
364,0.15384615384615385,"frozenset({'cuminum cyminum', 'plectranthus vettiveroides', 'nei'})"
365,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'nei'})"
366,0.15384615384615385,"frozenset({'cuminum cyminum', 'nei', 'trikatu'})"
367,0.15384615384615385,"frozenset({'abies spectabilis', 'plectranthus vettiveroides', 'nei'})"
368,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'nei', 'trikatu'})"
369,0.15384615384615385,"frozenset({'abies spectabilis', 'nei', 'trikatu'})"
598,0.15384615384615385,"frozenset({'milk', 'syzygium aromaticum', 'nei'})"
599,0.15384615384615385,"frozenset({'milk', 'saccharum officinarum', 'nei'})"
357,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'nei', 'myristica fragrans'})"
355,0.15384615384615385,"frozenset({'honey', 'nei', 'myristica fragrans'})"
601,0.15384615384615385,"frozenset({'milk', 'honey', 'nei'})"
354,0.15384615384615385,"frozenset({'saccharum officinarum', 'nei', 'trikatu'})"
315,0.15384615384615385,"frozenset({'abies spectabilis', 'cuminum cyminum', 'nigella sativa'})"
316,0.15384615384615385,"frozenset({'costus speciosus', 'cuminum cyminum', 'nigella sativa'})"
317,0.15384615384615385,"frozenset({'abies spectabilis', 'costus speciosus', 'nigella sativa'})"
342,0.15384615384615385,"frozenset({'syzygium aromaticum', 'saccharum officinarum', 'nei'})"
343,0.15384615384615385,"frozenset({'syzygium aromaticum', 'nei', 'myristica fragrans'})"
344,0.15384615384615385,"frozenset({'syzygium aromaticum', 'honey', 'nei'})"
345,0.15384615384615385,"frozenset({'cuminum cyminum', 'syzygium aromaticum', 'nei'})"
346,0.15384615384615385,"frozenset({'plectranthus vettiveroides', 'syzygium aromaticum', 'nei'})"
347,0.15384615384615385,"frozenset({'abies spectabilis', 'syzygium aromaticum', 'nei'})"
348,0.15384615384615385,"frozenset({'syzygium aromaticum', 'nei', 'trikatu'})"
