antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['glycyrrhiza glabra'],['myristica fragrans'],4.0,3.0,3.0,0.75,0.25,-9.0,-8.0,0.0
['myristica fragrans'],"['glycyrrhiza glabra', 'trikatu']",3.0,4.0,3.0,1.0,0.25,-9.0,inf,-3.0
['glycyrrhiza glabra'],"['myristica fragrans', 'trikatu']",4.0,3.0,3.0,0.75,0.25,-9.0,-8.0,0.0
['myristica fragrans'],['glycyrrhiza glabra'],3.0,4.0,3.0,1.0,0.25,-9.0,inf,-3.0
"['myristica fragrans', 'trikatu']",['glycyrrhiza glabra'],3.0,4.0,3.0,1.0,0.25,-9.0,inf,-3.0
"['glycyrrhiza glabra', 'trikatu']",['myristica fragrans'],4.0,3.0,3.0,0.75,0.25,-9.0,-8.0,0.0
"['costus speciosus', 'terminalia bellirica']","['triphala', 'trikatu']",3.0,5.0,3.0,1.0,0.2,-12.0,inf,-2.0
['plectranthus vettiveroides'],"['costus speciosus', 'trikatu']",3.0,5.0,3.0,1.0,0.2,-12.0,inf,-2.0
"['triphala', 'trikatu']","['costus speciosus', 'terminalia bellirica']",5.0,3.0,3.0,0.6,0.19999999999999998,-12.0,-5.0,0.0
"['costus speciosus', 'trikatu']",['plectranthus vettiveroides'],5.0,3.0,3.0,0.6,0.19999999999999998,-12.0,-5.0,0.0
