drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
Parangipattai Choornam ,Agathiyar ,,Smilax china ,Diabetes,sweet,Cold ,Sweet,"udarthetri,megapinivilaki,kamamperuki,thuyimaiyaki"
Parangipattai Choornam ,Agathiyar ,Stem juice ,Saccharum officinarum,Diabetes,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Aavarai kiyalam ,Agathiyar,leaf,Cassia auriculata ,Diabetes,Astringent,Cold ,Sweet,"Thuvarpi,Uramaki"
Aavarai kiyalam ,Agathiyar,,Kalamadham ,Diabetes,null,null,null,null
Aavarai kiyalam ,Agathiyar,Stem bark ,Cassis fistula,Diabetes,"Astringent , mildBitter ",Hot,Spicy ,null
Aavarai kiyalam ,Agathiyar,Seed,Piper nigrum,Diabetes,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Sukku kudineer ,Agathiyar ,Jaggery ,Borassus flabellifer,Diabetes,"Astringent, sweet",Cold ,Sweet,"thuvarpi,aanmaiperuki"
Sukku kudineer ,Agathiyar ,Dried rhizome ,Zingiber officinale,Diabetes,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Sukku kudineer ,Agathiyar ,Root ,Gmelina asiatica,Diabetes,"mildBitter, Astringent ",Cold ,Sweet,"udarthetri,ullalaratri,manamutti"
Sirukurinjan Kiyalam ,Agathiyar ,Root ,Gymnema sylvestre,Diabetes,Bitter,Hot,Spicy ,"Thuvarpi,Pasitheethundi,Uramaki,Kulirchiyundaki"
Sirukurinjan Kiyalam ,Agathiyar ,Milk ,Cocus nucifera,Diabetes,null,null,null,null
Parangipattai kiyalam,Agathiyar ,bark ,Smilax china ,Diabetes,sweet,Cold ,Sweet,"udarthetri,megapinivilaki,kamamperuki,thuyimaiyaki"
