drug,bot_name
Parangipattai Choornam ,Smilax china 
Parangipattai Choornam ,Saccharum officinarum
Aavarai kiyalam ,Cassia auriculata 
Aavarai kiyalam ,Kalamadham 
Aavarai kiyalam ,Cassis fistula
Aavarai kiyalam ,Piper nigrum
Sukku kudineer ,Borassus flabellifer
Sukku kudineer ,Zingiber officinale
Sukku kudineer ,Gmelina asiatica
Sirukurinjan Kiyalam ,Gymnema sylvestre
Sirukurinjan Kiyalam ,Cocus nucifera
Parangipattai kiyalam,Smilax china 
Parangipattai kiyalam,milk 
Legyam ,Achyranthes aspera
Legyam ,Tribulus terrestris
Legyam ,Eclipta prostrata
Legyam ,Crataeva magna
Legyam ,Toddalia asiatica
Legyam ,Indigofera aspalathoides
Legyam ,Tacca pinnatifida
Legyam ,Hygrophila auriculata
Legyam ,Aegle marmelos
Legyam ,Abutilon indicum
Legyam ,Enicostemma axillare
Legyam ,Nymphaea alba 
Legyam ,Nilaimantham 
Legyam ,Evolvulus alsinoides
Legyam ,Tribulus terrestris
Legyam ,Alternanthera sessilis
Legyam ,Mimosa paniculata
Legyam ,Indigofera tinctoria
Legyam ,Cardiospermum halicacabum
Legyam ,Pongamia pinnata
Legyam ,Datura metel
Legyam ,Strychnos nux - vomica
Legyam ,Aristolochia bracteolata
Legyam ,Vetiveria zizanioides 
Legyam ,Cocculus hirsutus
Legyam ,Ficus benghalensis
Legyam ,Amorphophallus paeoniifolius
Legyam ,Terminalia arjuna
Legyam ,Thespesia populnea 
Legyam ,Canthium coromandelicum 
Legyam ,Antiaris toxicaria
Legyam ,Amorphophallus paeoniifolius
Legyam ,Saccharum officinarum
Legyam ,Vitis vinifera 
Legyam ,Terminalia catappa
Vengala sendooram ,Citrus limon
Karuvanga sendooram ,Hibiscus rosa sinensis 
Karuvanga sendooram ,Piper betle
Karuvanga sendooram ,Terminalia arjuna
Karuvanga sendooram ,Cassia auriculata 
Kaandha sendooram ,Aloe barbadensis
Kaandha sendooram ,Eclipta prostrata
Muyal Kirutham ,Justicia beddomei
Muyal Kirutham ,Muyal 
Muyal Kirutham ,Glycyrrhiza glabra
Muyal Kirutham ,Alternanthera sessilis
Muyal Kirutham ,Costus speciosus
Muyal Kirutham ,Elettaria cardamomum
Muyal Kirutham ,Syzygium aromaticum
Muyal Kirutham ,Terminalia chebula
Muyal Kirutham ,Carum copticum
Muyal Kirutham ,Cuminum cyminum
Muyal Kirutham ,Cinnamomum verum
Muyal Kirutham ,Saccharum officinarum
Muyal Kirutham ,Myristica fragrans
Muyal Kirutham ,Allium sativum
Muyal Kirutham ,Cocos nucifera
Muyal Kirutham ,milk 
Muyal Kirutham ,Ghee
Muyal Kirutham ,Amaranthus
Velleyam chendooram ,Zingiber purpureum
Velleyam chendooram ,Carum copticum
Velleyam chendooram ,Aloe barbadensis
Sadhilinga kattu ,Boswellia serrata
Sadhilinga kattu ,Cinnamomum camphora
Sadhilinga kattu ,Myristica fragrans
Sadhilinga kattu ,Phyllanthus emblica
Kool panda legyam ,Zingiber officinale
Kool panda legyam ,Piper nigrum
Kool panda legyam ,Piper longum
Kool panda legyam ,Terminalia chebula
Kool panda legyam ,Phyllanthus emblica
Kool panda legyam ,Terminalia bellirica 
Kool panda legyam ,Cuminum cyminum
Kool panda legyam ,Plumbago zeylanica
Kool panda legyam ,Mesua Ferrea 
