antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'65'}),frozenset({'89'}),4.0,3.0,3.0,0.75,0.25,-9.0,-8.0,0.0
frozenset({'89'}),"frozenset({'65', '6'})",3.0,4.0,3.0,1.0,0.25,-9.0,inf,-3.0
frozenset({'65'}),"frozenset({'89', '6'})",4.0,3.0,3.0,0.75,0.25,-9.0,-8.0,0.0
frozenset({'89'}),frozenset({'65'}),3.0,4.0,3.0,1.0,0.25,-9.0,inf,-3.0
"frozenset({'89', '6'})",frozenset({'65'}),3.0,4.0,3.0,1.0,0.25,-9.0,inf,-3.0
"frozenset({'65', '6'})",frozenset({'89'}),4.0,3.0,3.0,0.75,0.25,-9.0,-8.0,0.0
"frozenset({'67', '53'})","frozenset({'52', '6'})",3.0,5.0,3.0,1.0,0.2,-12.0,inf,-2.0
frozenset({'138'}),"frozenset({'67', '6'})",3.0,5.0,3.0,1.0,0.2,-12.0,inf,-2.0
"frozenset({'52', '6'})","frozenset({'67', '53'})",5.0,3.0,3.0,0.6,0.19999999999999998,-12.0,-5.0,0.0
"frozenset({'67', '6'})",frozenset({'138'}),5.0,3.0,3.0,0.6,0.19999999999999998,-12.0,-5.0,0.0
