antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'64'}),"frozenset({'68', '54'})",5.0,4.0,4.0,0.8,0.2,-16.0,-15.000000000000004,0.0
"frozenset({'68', '54'})",frozenset({'64'}),4.0,5.0,4.0,1.0,0.2,-16.0,inf,-4.0
frozenset({'89'}),frozenset({'68'}),4.0,6.0,4.0,1.0,0.16666666666666666,-20.0,inf,-2.5
frozenset({'68'}),"frozenset({'64', '54'})",6.0,4.0,4.0,0.6666666666666666,0.16666666666666666,-20.0,-8.999999999999998,0.0
"frozenset({'64', '54'})",frozenset({'68'}),4.0,6.0,4.0,1.0,0.16666666666666666,-20.0,inf,-2.5
frozenset({'68'}),frozenset({'89'}),6.0,4.0,4.0,0.6666666666666666,0.16666666666666666,-20.0,-8.999999999999998,0.0
frozenset({'54'}),"frozenset({'68', '64'})",7.0,4.0,4.0,0.5714285714285714,0.14285714285714285,-24.0,-6.999999999999999,0.0
"frozenset({'68', '64'})",frozenset({'54'}),4.0,7.0,4.0,1.0,0.14285714285714285,-24.0,inf,-2.0
frozenset({'65'}),frozenset({'68'}),6.0,6.0,5.0,0.8333333333333334,0.1388888888888889,-31.0,-30.000000000000007,-5.166666666666667
frozenset({'68'}),frozenset({'65'}),6.0,6.0,5.0,0.8333333333333334,0.1388888888888889,-31.0,-30.000000000000007,-5.166666666666667
