antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'11', '83', '6'})","frozenset({'87', '89', '138', '54'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'122', '83', '6'})","frozenset({'87', '11', '68', '89'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '68', '89'})","frozenset({'11', '122', '83', '6'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '89', '83'})","frozenset({'11', '122', '6', '68'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '89', '6'})","frozenset({'11', '122', '83', '68'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '11', '68'})","frozenset({'122', '89', '83', '6'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '11', '83'})","frozenset({'68', '122', '89', '6'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '11', '6'})","frozenset({'68', '122', '89', '83'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '68', '83'})","frozenset({'11', '122', '89', '6'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
"frozenset({'87', '68', '6'})","frozenset({'11', '122', '89', '83'})",2.0,2.0,2.0,1.0,0.5,-2.0,inf,0.0
