6  #SUP: 12
15  #SUP: 4
20  #SUP: 2
21  #SUP: 2
44  #SUP: 2
46  #SUP: 4
47  #SUP: 2
50  #SUP: 3
51  #SUP: 4
52  #SUP: 8
53  #SUP: 6
54  #SUP: 4
57  #SUP: 2
64  #SUP: 3
65  #SUP: 3
66  #SUP: 2
67  #SUP: 2
68  #SUP: 3
80  #SUP: 2
81  #SUP: 5
85  #SUP: 2
87  #SUP: 3
95  #SUP: 2
97  #SUP: 3
100  #SUP: 2
101  #SUP: 2
102  #SUP: 3
106  #SUP: 2
157  #SUP: 2
178  #SUP: 3
6 15  #SUP: 3
6 20  #SUP: 2
6 46  #SUP: 3
6 47  #SUP: 2
6 50  #SUP: 3
6 51  #SUP: 4
6 52  #SUP: 8
6 53  #SUP: 6
6 54  #SUP: 3
6 57  #SUP: 2
6 64  #SUP: 2
6 65  #SUP: 2
6 68  #SUP: 2
6 81  #SUP: 5
6 85  #SUP: 2
6 87  #SUP: 2
6 101  #SUP: 2
6 102  #SUP: 3
6 106  #SUP: 2
15 46  #SUP: 3
15 50  #SUP: 2
15 51  #SUP: 2
15 52  #SUP: 2
15 97  #SUP: 2
44 46  #SUP: 2
46 50  #SUP: 3
46 51  #SUP: 3
46 52  #SUP: 3
46 54  #SUP: 2
46 97  #SUP: 2
47 52  #SUP: 2
47 53  #SUP: 2
50 51  #SUP: 3
50 52  #SUP: 3
50 54  #SUP: 2
51 52  #SUP: 4
51 54  #SUP: 3
51 65  #SUP: 2
51 68  #SUP: 2
51 81  #SUP: 2
51 85  #SUP: 2
52 53  #SUP: 5
52 54  #SUP: 3
52 65  #SUP: 2
52 68  #SUP: 2
52 81  #SUP: 4
52 85  #SUP: 2
52 87  #SUP: 2
52 101  #SUP: 2
52 102  #SUP: 2
53 81  #SUP: 2
53 102  #SUP: 3
53 106  #SUP: 2
54 64  #SUP: 2
54 65  #SUP: 2
54 67  #SUP: 2
54 68  #SUP: 2
54 81  #SUP: 2
64 65  #SUP: 2
64 68  #SUP: 2
64 81  #SUP: 2
65 66  #SUP: 2
