6  #SUP: 16
15  #SUP: 5
46  #SUP: 4
50  #SUP: 5
51  #SUP: 5
52  #SUP: 10
53  #SUP: 7
54  #SUP: 7
64  #SUP: 5
65  #SUP: 6
66  #SUP: 4
67  #SUP: 7
68  #SUP: 6
81  #SUP: 7
83  #SUP: 4
87  #SUP: 6
89  #SUP: 4
97  #SUP: 4
122  #SUP: 5
6 50  #SUP: 4
6 51  #SUP: 5
6 52  #SUP: 9
6 53  #SUP: 7
6 54  #SUP: 5
6 64  #SUP: 4
6 67  #SUP: 4
6 68  #SUP: 4
6 81  #SUP: 5
6 87  #SUP: 4
50 52  #SUP: 4
51 52  #SUP: 4
52 53  #SUP: 6
52 81  #SUP: 4
54 64  #SUP: 4
54 65  #SUP: 4
54 67  #SUP: 4
54 68  #SUP: 4
64 68  #SUP: 4
65 67  #SUP: 4
65 68  #SUP: 5
68 89  #SUP: 4
87 122  #SUP: 4
6 50 52  #SUP: 4
6 51 52  #SUP: 4
6 52 53  #SUP: 6
6 52 81  #SUP: 4
54 64 68  #SUP: 4
